n1,n2,fij
1,2,-1.9358e+00
1,3,1.1615e+00
1,4,0.0000e+00
1,5,1.5487e+00
1,6,-1.9358e+00
1,7,-3.8716e-01
1,8,-3.8716e-01
1,9,2.3230e+00
1,10,-3.8716e-01
1,11,2.3230e+00
1,12,-1.5487e+00
1,13,1.5487e+00
1,14,-7.7433e-01
1,15,-3.8716e-01
1,16,-2.7101e+00
1,17,-3.8716e-01
1,18,-3.0973e+00
1,19,3.8716e-01
1,20,-1.9358e+00
2,3,1.5487e+00
2,4,3.8716e-01
2,5,1.1615e+00
2,6,1.5487e+00
2,7,0.0000e+00
2,8,-3.8716e-01
2,9,7.7433e-01
2,10,3.8716e-01
2,11,7.7433e-01
2,12,1.5487e+00
2,13,1.5487e+00
2,14,1.1615e+00
2,15,3.8716e-01
2,16,-3.0973e+00
2,17,0.0000e+00
2,18,1.5487e+00
2,19,-3.8716e-01
2,20,-7.7433e-01
3,4,-3.4845e+00
3,5,-1.5487e+00
3,6,3.8716e-01
3,7,-1.1615e+00
3,8,-1.9358e+00
3,9,-3.8716e-01
3,10,-2.7101e+00
3,11,-2.7101e+00
3,12,-7.7433e-01
3,13,-3.8716e-01
3,14,-3.8716e+00
3,15,-1.5487e+00
3,16,-2.3230e+00
3,17,1.9358e+00
3,18,-1.5487e+00
3,19,-3.4845e+00
3,20,-3.4845e+00
4,5,-7.7433e-01
4,6,-1.1615e+00
4,7,3.8716e-01
4,8,-7.7433e-01
4,9,1.5487e+00
4,10,0.0000e+00
4,11,-3.8716e-01
4,12,-1.9358e+00
4,13,-7.7433e-01
4,14,1.9358e+00
4,15,-1.5487e+00
4,16,0.0000e+00
4,17,0.0000e+00
4,18,-1.1615e+00
4,19,1.5487e+00
4,20,-1.1615e+00
5,6,-1.5487e+00
5,7,-3.8716e-01
5,8,-3.8716e-01
5,9,3.8716e-01
5,10,-1.1615e+00
5,11,7.7433e-01
5,12,-7.7433e-01
5,13,-1.9358e+00
5,14,-3.4845e+00
5,15,0.0000e+00
5,16,1.5487e+00
5,17,0.0000e+00
5,18,-3.8716e-01
5,19,3.8716e-01
5,20,-7.7433e-01
6,7,1.5487e+00
6,8,-3.8716e-01
6,9,1.1615e+00
6,10,-7.7433e-01
6,11,1.5487e+00
6,12,-3.8716e-01
6,13,-7.7433e-01
6,14,0.0000e+00
6,15,-7.7433e-01
6,16,1.1615e+00
6,17,-1.1615e+00
6,18,-3.8716e-01
6,19,1.1615e+00
6,20,-3.8716e-01
7,8,-3.8716e-01
7,9,-2.3230e+00
7,10,7.7433e-01
7,11,-3.8716e-01
7,12,1.5487e+00
7,13,-1.1615e+00
7,14,-1.1615e+00
7,15,-7.7433e-01
7,16,7.7433e-01
7,17,7.7433e-01
7,18,-3.0973e+00
7,19,-7.7433e-01
7,20,-1.5487e+00
8,9,3.8716e-01
8,10,7.7433e-01
8,11,1.1615e+00
8,12,-3.8716e-01
8,13,-1.9358e+00
8,14,1.1615e+00
8,15,-7.7433e-01
8,16,-3.8716e-01
8,17,3.8716e-01
8,18,-3.8716e-01
8,19,2.7101e+00
8,20,-3.8716e-01
9,10,2.3230e+00
9,11,3.8716e-01
9,12,0.0000e+00
9,13,-2.3230e+00
9,14,-1.1615e+00
9,15,0.0000e+00
9,16,-3.8716e+00
9,17,-7.7433e-01
9,18,-2.3230e+00
9,19,-3.8716e-01
9,20,7.7433e-01
10,11,7.7433e-01
10,12,-1.5487e+00
10,13,-7.7433e-01
10,14,7.7433e-01
10,15,-3.8716e-01
10,16,-7.7433e-01
10,17,0.0000e+00
10,18,1.9358e+00
10,19,-3.8716e-01
10,20,-7.7433e-01
11,12,3.8716e-01
11,13,3.8716e-01
11,14,-1.5487e+00
11,15,-1.1615e+00
11,16,-3.8716e-01
11,17,-3.8716e-01
11,18,-2.7101e+00
11,19,-2.7101e+00
11,20,-1.1615e+00
12,13,-3.8716e-01
12,14,2.7101e+00
12,15,-1.1615e+00
12,16,-2.7101e+00
12,17,2.3230e+00
12,18,7.7433e-01
12,19,-2.7101e+00
12,20,-1.1615e+00
13,14,-1.9358e+00
13,15,-2.3230e+00
13,16,3.8716e-01
13,17,-1.9358e+00
13,18,7.7433e-01
13,19,1.9358e+00
13,20,-1.5487e+00
14,15,-7.7433e-01
14,16,-7.7433e-01
14,17,-3.8716e-01
14,18,0.0000e+00
14,19,-2.7101e+00
14,20,-3.8716e-01
15,16,-1.1615e+00
15,17,-1.5487e+00
15,18,-2.3230e+00
15,19,-7.7433e-01
15,20,7.7433e-01
16,17,3.8716e-01
16,18,1.1615e+00
16,19,1.1615e+00
16,20,3.8716e-01
17,18,7.7433e-01
17,19,-1.1615e+00
17,20,-1.9358e+00
18,19,-3.8716e-01
18,20,-3.8716e-01
19,20,-3.8716e-01
