n1,n2,fij
1,2,-2.8318e-01
1,3,6.7540e-04
1,4,-2.1675e-01
1,5,-2.5333e-01
1,6,9.0318e-02
1,7,-4.2456e-01
1,8,-3.6102e-01
1,9,-5.0144e-01
1,10,-8.0666e-01
1,11,-4.1680e-01
1,12,-6.0950e-01
1,13,-5.5162e-01
1,14,-5.8415e-01
1,15,-5.5569e-01
1,16,-7.4605e-01
1,17,-4.2476e-01
1,18,-5.0355e-01
1,19,-5.3871e-01
1,20,-6.1389e-01
2,3,1.0910e-01
2,4,3.2399e-01
2,5,1.0517e-01
2,6,9.6671e-02
2,7,-4.0358e-01
2,8,-1.4426e-01
2,9,-1.6494e-01
2,10,-2.3338e-01
2,11,-3.0287e-01
2,12,-2.7790e-03
2,13,-1.3383e-01
2,14,4.3071e-02
2,15,-2.6883e-01
2,16,-6.6864e-01
2,17,8.8829e-02
2,18,-4.0590e-01
2,19,-3.5260e-01
2,20,-3.1422e-01
3,4,-1.3366e-01
3,5,-1.5972e-01
3,6,-1.1659e-01
3,7,-1.8712e-01
3,8,-2.0432e-01
3,9,-3.4980e-01
3,10,-3.9068e-01
3,11,-5.7420e-01
3,12,-5.5453e-01
3,13,-3.7390e-01
3,14,-3.7216e-01
3,15,-3.9068e-01
3,16,-2.7376e-01
3,17,-2.6720e-01
3,18,-4.0959e-01
3,19,-5.3531e-01
3,20,-6.5515e-01
4,5,-1.3833e-01
4,6,6.2977e-03
4,7,-3.7890e-01
4,8,-5.5604e-01
4,9,-3.9329e-01
4,10,-5.1743e-01
4,11,-4.5111e-01
4,12,-1.3632e-01
4,13,-1.1426e-01
4,14,-1.3233e-01
4,15,-4.4764e-01
4,16,-5.7147e-01
4,17,-1.2785e-01
4,18,-4.9027e-01
4,19,-2.8488e-01
4,20,-4.3169e-01
5,6,1.0808e-01
5,7,-2.2250e-01
5,8,-2.8337e-01
5,9,-1.9202e-01
5,10,-3.1447e-01
5,11,-3.1539e-01
5,12,-2.7993e-01
5,13,-4.5417e-01
5,14,-1.1504e-01
5,15,-2.8787e-01
5,16,-6.1765e-01
5,17,-2.6037e-01
5,18,-1.7000e-01
5,19,-2.1564e-01
5,20,-1.7832e-01
6,7,-1.8951e-01
6,8,-7.4900e-02
6,9,-2.4207e-01
6,10,-5.5011e-01
6,11,-7.9722e-02
6,12,-2.4529e-01
6,13,-3.9257e-01
6,14,-5.7177e-02
6,15,-2.8994e-01
6,16,-2.0874e-01
6,17,-2.9342e-01
6,18,-6.7067e-01
6,19,-4.3160e-01
6,20,-4.2048e-01
7,8,2.2006e-01
7,9,2.3151e-01
7,10,3.9881e-02
7,11,1.1253e-01
7,12,1.7499e-01
7,13,-6.8621e-02
7,14,5.4552e-02
7,15,1.9544e-01
7,16,1.3187e-01
7,17,1.7008e-01
7,18,-2.6251e-01
7,19,2.1276e-01
7,20,-6.3363e-02
8,9,-3.5845e-02
8,10,-3.2437e-02
8,11,3.5847e-01
8,12,-1.3012e-01
8,13,1.4304e-01
8,14,2.0478e-01
8,15,-1.5204e-01
8,16,-2.0696e-02
8,17,1.1463e-01
8,18,-2.0112e-01
8,19,8.2580e-02
8,20,-7.8777e-02
9,10,-4.4001e-01
9,11,-1.6006e-01
9,12,2.1910e-01
9,13,-1.7995e-01
9,14,9.2235e-02
9,15,1.6802e-01
9,16,1.1578e-01
9,17,6.8729e-04
9,18,-2.5850e-01
9,19,2.6148e-02
9,20,-1.1548e-01
10,11,-3.6128e-02
10,12,1.3014e-01
10,13,4.4596e-01
10,14,-3.4062e-01
10,15,-3.1100e-02
10,16,-1.9353e-01
10,17,4.3786e-01
10,18,2.4221e-01
10,19,1.9055e-01
10,20,-1.4855e-01
11,12,1.1642e-02
11,13,-2.1251e-01
11,14,-1.7916e-01
11,15,1.2357e-01
11,16,3.4666e-01
11,17,2.7384e-01
11,18,-2.6060e-01
11,19,2.1848e-01
11,20,-6.7905e-02
12,13,-1.0870e-01
12,14,1.3881e-01
12,15,-1.4762e-01
12,16,3.3394e-01
12,17,-1.5231e-01
12,18,-1.9487e-03
12,19,1.9153e-01
12,20,-3.5410e-01
13,14,1.4366e-01
13,15,-1.7412e-02
13,16,8.4709e-02
13,17,2.1576e-01
13,18,-1.3965e-01
13,19,4.9034e-03
13,20,-1.7560e-01
14,15,8.4900e-02
14,16,-1.0037e-01
14,17,1.9635e-01
14,18,-3.3668e-02
14,19,3.1360e-02
14,20,-3.8749e-01
15,16,1.1417e-02
15,17,3.1086e-01
15,18,1.7668e-01
15,19,2.7174e-01
15,20,1.0326e-01
16,17,1.5221e-01
16,18,-2.4296e-01
16,19,-4.8823e-01
16,20,-1.9207e-02
17,18,-4.9247e-01
17,19,-2.9056e-01
17,20,-2.8569e-01
18,19,3.5073e-01
18,20,-3.6137e-02
19,20,2.7182e-02
