n1,n2,fij
1,2,-2.8003e-01
1,3,-2.0782e-01
1,4,-1.5415e-01
1,5,-2.4552e-01
1,6,-4.1331e-02
1,7,-9.6610e-02
1,8,-1.0219e-01
1,9,-2.4560e-01
1,10,-3.2800e-01
1,11,-1.3533e-01
1,12,-3.1629e-01
1,13,-3.6571e-01
1,14,-2.4246e-01
1,15,-2.1457e-01
1,16,-3.1308e-01
1,17,-3.3103e-01
1,18,-3.6786e-01
1,19,-3.5721e-01
1,20,-2.8369e-01
2,3,4.5284e-01
2,4,2.9690e-02
2,5,8.3478e-02
2,6,-8.7129e-02
2,7,2.5992e-02
2,8,-6.4560e-02
2,9,2.1992e-02
2,10,-1.9300e-02
2,11,-8.3334e-03
2,12,1.1727e-01
2,13,-4.4499e-01
2,14,-2.4969e-01
2,15,2.1922e-01
2,16,1.6540e-02
2,17,-5.8848e-02
2,18,-1.2485e-01
2,19,-2.3989e-01
2,20,-2.0018e-01
3,4,1.1511e-01
3,5,-1.3870e-01
3,6,-7.0470e-02
3,7,1.3694e-01
3,8,-1.1202e-01
3,9,-1.5713e-01
3,10,-1.9993e-01
3,11,-5.3237e-02
3,12,-1.7843e-01
3,13,-3.1770e-01
3,14,-2.4383e-01
3,15,-8.3344e-02
3,16,-1.4675e-01
3,17,-2.3572e-01
3,18,-1.6706e-01
3,19,-1.2931e-01
3,20,1.3009e-01
4,5,-2.7510e-01
4,6,-1.8640e-01
4,7,-1.7336e-02
4,8,9.4802e-02
4,9,-3.2454e-01
4,10,-1.2420e-01
4,11,-1.0042e-01
4,12,-1.1354e-01
4,13,-1.3002e-01
4,14,-4.5566e-02
4,15,6.2460e-02
4,16,-1.0705e-01
4,17,-3.3963e-01
4,18,-3.7349e-01
4,19,-2.0665e-01
4,20,-1.9667e-01
5,6,2.1392e-01
5,7,-9.5141e-02
5,8,6.5809e-02
5,9,-1.1869e-01
5,10,-9.9283e-02
5,11,3.2118e-01
5,12,2.3193e-02
5,13,-6.3592e-02
5,14,-2.5281e-01
5,15,4.8921e-02
5,16,2.0660e-01
5,17,-1.3450e-02
5,18,-1.4084e-01
5,19,-2.8742e-01
5,20,-3.3819e-01
6,7,2.7299e-01
6,8,1.6005e-01
6,9,-1.7597e-01
6,10,-6.5259e-02
6,11,1.2489e-01
6,12,1.8768e-02
6,13,-7.0717e-02
6,14,-2.2440e-01
6,15,-9.9810e-02
6,16,-1.5745e-01
6,17,-7.3573e-02
6,18,-1.3364e-01
6,19,2.1172e-01
6,20,-9.6603e-02
7,8,6.3744e-02
7,9,1.8690e-02
7,10,1.0856e-02
7,11,-2.3483e-01
7,12,2.0736e-01
7,13,-2.5249e-01
7,14,-2.0578e-01
7,15,-6.1287e-02
7,16,-2.4550e-01
7,17,-7.9511e-02
7,18,-1.8742e-02
7,19,-3.1176e-01
7,20,-3.7316e-01
8,9,-2.6862e-01
8,10,-1.6538e-01
8,11,9.0814e-02
8,12,-1.2044e-01
8,13,-3.3262e-01
8,14,-1.9805e-01
8,15,8.7643e-03
8,16,-1.4920e-01
8,17,-1.5450e-01
8,18,-2.9394e-01
8,19,-1.7382e-01
8,20,1.8364e-01
9,10,1.0961e-01
9,11,7.4093e-02
9,12,4.5035e-02
9,13,-2.2816e-01
9,14,1.5767e-01
9,15,6.2723e-02
9,16,2.8975e-01
9,17,1.5859e-01
9,18,2.5814e-01
9,19,1.5472e-01
9,20,3.4793e-02
10,11,-1.6592e-01
10,12,-2.9243e-01
10,13,-1.4183e-01
10,14,-1.2673e-01
10,15,-1.9644e-02
10,16,7.0894e-02
10,17,-9.4146e-02
10,18,-2.0749e-01
10,19,-1.0276e-01
10,20,1.9197e-01
11,12,-3.3113e-02
11,13,-1.3797e-01
11,14,-1.1944e-01
11,15,-6.4250e-02
11,16,1.0507e-01
11,17,7.1550e-02
11,18,-2.7039e-03
11,19,-9.2812e-02
11,20,1.8930e-01
12,13,-1.4924e-01
12,14,-1.2537e-01
12,15,-5.4764e-02
12,16,1.6723e-01
12,17,-6.9811e-02
12,18,2.7589e-01
12,19,1.1430e-01
12,20,4.6179e-02
13,14,-2.3049e-01
13,15,1.9379e-01
13,16,2.4190e-01
13,17,1.9100e-01
13,18,3.1884e-02
13,19,-7.0908e-02
13,20,2.1462e-01
14,15,2.3961e-01
14,16,1.7596e-01
14,17,-3.1609e-02
14,18,-2.2593e-01
14,19,-2.1174e-01
14,20,-2.0179e-01
15,16,-1.0180e-01
15,17,-7.6454e-02
15,18,-2.8688e-01
15,19,-3.9630e-01
15,20,-2.7682e-01
16,17,-2.5856e-01
16,18,7.6022e-02
16,19,-9.6222e-03
16,20,1.0050e-01
17,18,-3.3241e-01
17,19,-2.0265e-01
17,20,2.5697e-02
18,19,-1.0730e-01
18,20,-2.2610e-01
19,20,1.0337e-01
