n1,n2,fij
1,2,-2.5194e-01
1,3,-3.9021e-01
1,4,-8.1095e-02
1,5,4.0489e-02
1,6,-2.1994e-01
1,7,-3.7642e-01
1,8,6.3098e-02
1,9,-3.4224e-01
1,10,-3.8633e-01
1,11,-4.2013e-01
1,12,-4.5053e-01
1,13,-6.0321e-01
1,14,-3.9759e-01
1,15,-4.5120e-01
1,16,-4.5243e-01
1,17,-5.2405e-01
1,18,-4.7245e-01
2,3,6.7558e-02
2,4,1.3094e-01
2,5,1.0633e-01
2,6,2.3591e-01
2,7,1.8604e-01
2,8,-1.7598e-01
2,9,2.3777e-01
2,10,-5.5028e-02
2,11,1.1129e-01
2,12,1.9599e-01
2,13,-9.1407e-02
2,14,-1.0283e-01
2,15,3.9364e-02
2,16,1.9599e-01
2,17,2.4343e-01
2,18,-7.9603e-02
3,4,-4.7860e-02
3,5,7.0528e-02
3,6,1.9995e-01
3,7,-3.0078e-01
3,8,4.2976e-02
3,9,8.3873e-02
3,10,-1.9703e-01
3,11,-3.5104e-01
3,12,-7.0520e-02
3,13,-1.5995e-01
3,14,-1.6683e-01
3,15,-3.0768e-01
3,16,-6.3484e-02
3,17,1.1279e-01
3,18,-7.0479e-02
4,5,-2.0519e-01
4,6,-2.0402e-01
4,7,-1.4909e-01
4,8,-7.1959e-02
4,9,-9.7321e-02
4,10,-3.0122e-01
4,11,-2.2720e-01
4,12,-2.6606e-01
4,13,-3.9750e-01
4,14,-5.7751e-01
4,15,-4.2375e-01
4,16,-1.1164e-01
4,17,8.3402e-02
4,18,-1.4030e-01
5,6,-2.1079e-01
5,7,-1.0113e-01
5,8,1.4309e-02
5,9,5.0371e-02
5,10,-3.2909e-01
5,11,-8.1698e-02
5,12,-3.2473e-01
5,13,-1.1085e-01
5,14,-3.7848e-01
5,15,-3.7072e-01
5,16,-1.1679e-01
5,17,1.1758e-01
5,18,-3.1636e-01
6,7,-2.6606e-01
6,8,-2.6572e-01
6,9,-9.7090e-02
6,10,-4.6332e-01
6,11,-1.4675e-01
6,12,-3.1299e-01
6,13,-2.2231e-01
6,14,-2.4384e-01
6,15,-4.3812e-01
6,16,-1.8146e-01
6,17,-3.8705e-01
6,18,-1.1592e-01
7,8,2.8981e-01
7,9,2.1529e-01
7,10,-1.4224e-02
7,11,8.3960e-02
7,12,9.6130e-02
7,13,6.2460e-02
7,14,-1.0453e-01
7,15,4.6020e-02
7,16,6.5009e-02
7,17,3.3454e-01
7,18,2.6426e-01
8,9,2.6622e-01
8,10,-1.4595e-02
8,11,3.4695e-02
8,12,-3.7101e-01
8,13,9.6070e-03
8,14,-1.2559e-01
8,15,-5.3149e-02
8,16,7.4907e-02
8,17,3.8055e-01
8,18,2.1731e-02
9,10,6.6069e-02
9,11,-7.4686e-02
9,12,2.0153e-01
9,13,-8.8274e-02
9,14,4.2287e-02
9,15,-1.3974e-01
9,16,-2.0079e-01
9,17,-1.0448e-02
9,18,-1.0731e-01
10,11,1.2695e-01
10,12,-1.0801e-01
10,13,1.9214e-01
10,14,1.0182e-02
10,15,-3.3952e-01
10,16,2.1836e-01
10,17,-3.2829e-02
10,18,2.3097e-01
11,12,-1.3861e-01
11,13,-1.6766e-01
11,14,-2.0963e-01
11,15,1.2011e-01
11,16,3.1510e-01
11,17,-7.7958e-02
11,18,3.4280e-02
12,13,9.8968e-02
12,14,-3.2252e-01
12,15,1.6843e-01
12,16,-1.6969e-01
12,17,-2.5561e-01
12,18,2.6958e-01
13,14,8.2159e-02
13,15,1.2848e-01
13,16,-7.7079e-02
13,17,7.7687e-02
13,18,-7.2082e-02
14,15,-6.4290e-02
14,16,-9.8678e-02
14,17,1.5198e-03
14,18,-9.4360e-02
15,16,-5.7997e-03
15,17,2.9992e-01
15,18,-2.8837e-03
16,17,8.8777e-02
16,18,-1.4635e-01
17,18,3.5122e-01
