n1,n2,fij
1,2,8.7097e-01
1,3,3.3333e-01
1,4,-4.3750e-01
1,5,-2.6316e-01
1,6,4.1667e-01
1,7,6.9231e-01
1,8,4.7826e-01
1,9,-2.5926e-01
1,10,-6.1538e-01
1,11,-4.0000e-02
1,12,2.6667e-01
1,13,2.1429e-01
1,14,-4.1935e-01
1,15,-3.6364e-01
1,16,-3.3333e-01
1,17,-5.0000e-01
1,18,-3.6842e-01
1,19,-4.7368e-01
1,20,-6.2500e-01
2,3,-1.8750e-01
2,4,-3.5714e-01
2,5,-4.6667e-01
2,6,0.0000e+00
2,7,-1.3043e-01
2,8,-1.0000e-01
2,9,-5.0000e-01
2,10,-4.0741e-01
2,11,-7.3913e-01
2,12,7.6923e-02
2,13,0.0000e+00
2,14,-7.5758e-01
2,15,-5.0000e-01
2,16,-5.1724e-01
2,17,-4.2857e-01
2,18,-2.5714e-01
2,19,-6.5000e-01
2,20,-4.4000e-01
3,4,8.3333e-02
3,5,0.0000e+00
3,6,-2.5714e-01
3,7,-1.3043e-01
3,8,-2.8571e-01
3,9,-7.7778e-01
3,10,-3.0435e-01
3,11,-2.3529e-01
3,12,-3.8462e-01
3,13,-2.0000e-01
3,14,-5.5556e-02
3,15,-2.2581e-01
3,16,-1.5789e-01
3,17,-6.2963e-01
3,18,-1.8519e-01
3,19,-5.5556e-02
3,20,-4.1176e-01
4,5,0.0000e+00
4,6,0.0000e+00
4,7,-4.1667e-01
4,8,3.8462e-01
4,9,7.6923e-02
4,10,-6.9565e-01
4,11,-6.9811e-01
4,12,-2.0000e-01
4,13,-5.0000e-01
4,14,-1.8182e-02
4,15,-4.0000e-01
4,16,-3.7931e-01
4,17,-4.4444e-01
4,18,-2.7273e-01
4,19,-1.2000e-01
4,20,-4.1176e-01
5,6,2.0000e-01
5,7,4.3478e-02
5,8,-3.0000e-01
5,9,-5.0000e-01
5,10,-7.1429e-01
5,11,1.4286e-01
5,12,-4.0000e-02
5,13,-3.7037e-02
5,14,-2.3256e-02
5,15,0.0000e+00
5,16,-1.0000e-01
5,17,0.0000e+00
5,18,-3.1429e-01
5,19,-3.5484e-01
5,20,-2.5000e-01
6,7,-6.8421e-01
6,8,-1.6667e-01
6,9,-1.5152e-01
6,10,-3.3333e-01
6,11,-4.3750e-01
6,12,-2.6087e-01
6,13,2.0000e-01
6,14,-2.0000e-01
6,15,-1.6667e-01
6,16,0.0000e+00
6,17,-2.5000e-01
6,18,-7.0370e-01
6,19,-5.3333e-01
6,20,-2.6829e-01
7,8,-1.5789e-01
7,9,-1.8182e-01
7,10,-6.3636e-01
7,11,9.6774e-02
7,12,1.6667e-01
7,13,-5.2632e-02
7,14,-2.7273e-01
7,15,-5.0000e-01
7,16,-2.0000e-01
7,17,-2.2222e-01
7,18,-3.3333e-01
7,19,-3.6364e-01
7,20,4.7619e-02
8,9,-2.9032e-01
8,10,-8.6667e-01
8,11,1.8519e-01
8,12,-2.2727e-01
8,13,-2.2581e-01
8,14,-2.5000e-01
8,15,-2.0000e-01
8,16,-2.5000e-01
8,17,-5.5556e-01
8,18,-4.6667e-01
8,19,-3.3333e-01
8,20,0.0000e+00
9,10,-2.9412e-01
9,11,7.1429e-02
9,12,4.1667e-01
9,13,2.0000e-01
9,14,6.6667e-02
9,15,-4.0541e-01
9,16,1.1765e-01
9,17,-5.7895e-01
9,18,-1.0345e-01
9,19,-4.8718e-01
9,20,-3.2258e-02
10,11,2.1429e-01
10,12,3.6842e-01
10,13,3.6842e-01
10,14,1.0000e-01
10,15,8.3333e-02
10,16,1.8519e-01
10,17,-3.9130e-01
10,18,2.7273e-01
10,19,-2.7273e-01
10,20,-4.0000e-01
11,12,-2.4324e-01
11,13,-4.1667e-01
11,14,2.2222e-01
11,15,-2.1429e-01
11,16,-1.2000e-01
11,17,-6.2500e-02
11,18,-5.2632e-02
11,19,-3.9394e-01
11,20,-2.6316e-01
12,13,-2.8571e-01
12,14,-3.7037e-02
12,15,-5.7143e-01
12,16,-3.0769e-01
12,17,-3.5484e-01
12,18,0.0000e+00
12,19,-1.1111e-01
12,20,-1.8519e-01
13,14,-2.2222e-01
13,15,4.0000e-02
13,16,-3.0303e-02
13,17,-3.9394e-01
13,18,0.0000e+00
13,19,1.5385e-01
13,20,1.6667e-01
14,15,-5.1515e-01
14,16,-4.1935e-01
14,17,-3.2258e-02
14,18,5.0000e-02
14,19,-3.4783e-01
14,20,3.7037e-02
15,16,8.3333e-02
15,17,4.0741e-01
15,18,-1.1111e-01
15,19,1.5152e-01
15,20,1.5152e-01
16,17,3.3333e-01
16,18,2.9032e-01
16,19,-6.2162e-01
16,20,-6.2500e-02
17,18,-2.5000e-01
17,19,-1.8750e-01
17,20,-3.2258e-02
18,19,3.4483e-02
18,20,-1.2000e-01
19,20,-9.6774e-02
