n1,n2,fij
1,2,7.5000e-01
1,3,-2.7273e-01
1,4,-9.0909e-02
1,5,-1.1111e-01
1,6,2.0000e-01
1,7,-4.2857e-01
1,8,0.0000e+00
1,9,-3.3333e-01
1,10,-4.0000e-01
1,11,-2.3077e-01
1,12,-4.0000e-01
1,13,-1.4286e-01
1,14,-2.5000e-01
1,15,-1.4286e-01
1,16,-8.1818e-01
1,17,-6.0000e-01
1,18,-4.5455e-01
1,19,-4.6667e-01
1,20,-9.0909e-02
2,3,-5.0000e-01
2,4,-4.5455e-01
2,5,-5.7143e-01
2,6,-2.0000e-01
2,7,2.5000e-01
2,8,2.3810e-01
2,9,-6.2500e-01
2,10,-4.0000e-01
2,11,-4.5455e-01
2,12,-3.0000e-01
2,13,2.3077e-01
2,14,-8.8889e-01
2,15,-2.0000e-01
2,16,-6.6667e-01
2,17,-7.5000e-01
2,18,-8.0000e-01
2,19,-5.2381e-01
2,20,-5.2941e-01
3,4,0.0000e+00
3,5,-7.6923e-02
3,6,3.3333e-01
3,7,-7.6923e-02
3,8,-3.3333e-01
3,9,-4.4444e-01
3,10,0.0000e+00
3,11,-2.5000e-01
3,12,-5.3846e-01
3,13,7.6923e-02
3,14,2.0000e-01
3,15,-5.0000e-01
3,16,-3.3333e-01
3,17,-7.5000e-01
3,18,-7.7778e-01
3,19,-2.3077e-01
3,20,-1.4286e-01
4,5,5.0000e-01
4,6,-7.6923e-02
4,7,2.3077e-01
4,8,3.5714e-01
4,9,-5.8824e-02
4,10,-6.6667e-01
4,11,2.7273e-01
4,12,-2.0000e-01
4,13,-2.0000e-01
4,14,-2.6316e-01
4,15,-2.7273e-01
4,16,-8.6667e-01
4,17,-4.1176e-01
4,18,0.0000e+00
4,19,-3.3333e-01
4,20,-1.2500e-01
5,6,-2.3077e-01
5,7,1.6667e-01
5,8,2.0000e-01
5,9,-1.4286e-01
5,10,-1.7647e-01
5,11,-1.1111e-01
5,12,-8.7500e-01
5,13,-1.1111e-01
5,14,-1.0000e-01
5,15,-3.3333e-01
5,16,-4.2857e-01
5,17,-3.3333e-01
5,18,-1.0000e+00
5,19,-7.3333e-01
5,20,-2.0000e-01
6,7,2.0000e-01
6,8,-7.6923e-02
6,9,-2.8571e-01
6,10,2.0000e-01
6,11,-2.3077e-01
6,12,0.0000e+00
6,13,-2.7273e-01
6,14,-1.6667e-01
6,15,-5.0000e-01
6,16,-1.6667e-01
6,17,-6.0000e-01
6,18,-5.0000e-01
6,19,-5.0000e-01
6,20,-5.0000e-01
7,8,0.0000e+00
7,9,-3.3333e-01
7,10,-4.0000e-01
7,11,-2.3077e-01
7,12,6.6667e-02
7,13,-5.5556e-01
7,14,-1.1111e-01
7,15,-7.5000e-01
7,16,-1.0000e+00
7,17,-3.3333e-01
7,18,1.6667e-01
7,19,-3.7500e-01
7,20,-1.1111e-01
8,9,-2.2222e-01
8,10,-1.6667e-01
8,11,-3.8462e-01
8,12,-3.8462e-01
8,13,9.0909e-02
8,14,-2.3077e-01
8,15,6.0000e-01
8,16,-4.0000e-01
8,17,-1.0000e+00
8,18,1.1111e-01
8,19,-4.1176e-01
8,20,-2.7273e-01
9,10,3.3333e-01
9,11,7.1429e-01
9,12,2.3077e-01
9,13,2.5000e-01
9,14,-2.0000e-01
9,15,-1.4286e-01
9,16,-2.8571e-01
9,17,2.7273e-01
9,18,4.2857e-01
9,19,-3.3333e-01
9,20,5.7143e-01
10,11,2.5000e-01
10,12,-1.1111e-01
10,13,2.0000e-01
10,14,-4.2857e-01
10,15,3.3333e-01
10,16,-1.4286e-01
10,17,-2.0000e-01
10,18,2.0000e-01
10,19,1.2500e-01
10,20,1.4286e-01
11,12,3.3333e-01
11,13,-6.6667e-01
11,14,-4.2857e-01
11,15,5.5556e-01
11,16,4.0000e-01
11,17,-7.6923e-02
11,18,2.5000e-01
11,19,1.1111e-01
11,20,-3.3333e-01
12,13,-4.2857e-01
12,14,7.1429e-01
12,15,2.0000e-01
12,16,-5.0000e-01
12,17,-3.3333e-01
12,18,1.1111e-01
12,19,-2.8571e-01
12,20,-1.7647e-01
13,14,-5.2632e-02
13,15,-2.5000e-01
13,16,0.0000e+00
13,17,-7.6923e-02
13,18,-8.0000e-01
13,19,-6.9231e-01
13,20,1.6667e-01
14,15,1.1111e-01
14,16,-5.0000e-01
14,17,2.0000e-01
14,18,-1.2500e-01
14,19,-8.3333e-01
14,20,2.0000e-01
15,16,-1.1111e-01
15,17,9.0909e-02
15,18,-5.0000e-01
15,19,-2.3077e-01
15,20,2.0000e-01
16,17,-4.2857e-01
16,18,4.0000e-01
16,19,-2.3077e-01
16,20,0.0000e+00
17,18,-7.6923e-02
17,19,-6.3636e-01
17,20,-1.1111e-01
18,19,-7.5000e-01
18,20,-1.5789e-01
19,20,0.0000e+00
