n1,n2,fij
1,2,-3.0816e-01
1,3,1.5795e-01
1,4,-2.9237e-01
1,5,-4.1798e-01
1,6,-2.3629e-01
1,7,-3.1202e-02
1,8,-6.8313e-01
1,9,4.7824e-01
1,10,-2.0035e-01
1,11,8.0396e-02
1,12,-3.7728e-01
1,13,-1.7167e-01
1,14,-7.5500e-01
1,15,-3.3214e-01
1,16,6.1096e-02
1,17,-1.8174e-01
1,18,-1.7606e-02
1,19,7.4169e-03
1,20,-3.5851e-01
2,3,3.2202e-01
2,4,2.7406e-02
2,5,3.3736e-01
2,6,3.6803e-01
2,7,2.6311e-01
2,8,2.2262e-01
2,9,7.1050e-01
2,10,-1.7486e-01
2,11,-2.9892e-01
2,12,-9.6216e-02
2,13,3.5097e-01
2,14,-3.2915e-01
2,15,-5.7063e-02
2,16,-9.0399e-02
2,17,-1.3301e-02
2,18,2.4775e-01
2,19,1.2257e-01
2,20,-8.9015e-02
3,4,-2.7033e-02
3,5,-1.6619e-01
3,6,-4.4030e-01
3,7,-3.1589e-01
3,8,-1.9415e-01
3,9,2.8712e-01
3,10,2.2119e-02
3,11,5.5301e-02
3,12,-4.4328e-01
3,13,-1.6234e-01
3,14,-2.1153e-01
3,15,-3.2045e-01
3,16,-4.0238e-01
3,17,8.8748e-02
3,18,4.1364e-02
3,19,-3.8072e-01
3,20,-2.9691e-03
4,5,2.8075e-02
4,6,1.4085e-02
4,7,3.1309e-01
4,8,-3.2348e-01
4,9,3.1956e-01
4,10,9.4422e-03
4,11,2.7683e-01
4,12,5.2114e-02
4,13,-9.1281e-02
4,14,1.3744e-01
4,15,5.1500e-02
4,16,3.5137e-01
4,17,3.1362e-02
4,18,5.5060e-02
4,19,2.9591e-01
4,20,1.7280e-01
5,6,3.1390e-01
5,7,4.0195e-01
5,8,1.1317e-01
5,9,3.9596e-01
5,10,-4.8570e-01
5,11,4.1044e-01
5,12,6.1523e-02
5,13,2.4198e-01
5,14,-2.6479e-01
5,15,1.7966e-01
5,16,2.5078e-01
5,17,5.5839e-02
5,18,2.3204e-01
5,19,2.8298e-01
5,20,-3.0493e-01
6,7,2.7099e-01
6,8,-6.9453e-03
6,9,2.8496e-01
6,10,5.7576e-02
6,11,3.2351e-01
6,12,-6.4250e-01
6,13,1.0523e-01
6,14,2.3933e-01
6,15,-2.6646e-01
6,16,-1.0807e-01
6,17,-5.9658e-01
6,18,-4.4828e-01
6,19,1.7247e-01
6,20,2.2011e-02
7,8,1.9136e-01
7,9,-1.1034e-01
7,10,4.1973e-01
7,11,2.1521e-01
7,12,1.5065e-01
7,13,-3.8067e-01
7,14,-1.5748e-01
7,15,-2.9458e-01
7,16,-1.8844e-01
7,17,-7.0485e-02
7,18,-4.3458e-01
7,19,7.7397e-02
7,20,-2.1507e-01
8,9,1.8664e-01
8,10,-2.1778e-01
8,11,-1.4062e-02
8,12,-8.3116e-02
8,13,5.9063e-02
8,14,-9.3334e-02
8,15,-1.4987e-01
8,16,-2.0577e-01
8,17,2.7532e-01
8,18,-2.0613e-02
8,19,2.9528e-01
8,20,-5.8208e-01
9,10,4.6892e-01
9,11,-6.9566e-04
9,12,-5.8764e-01
9,13,-4.1649e-01
9,14,-7.4905e-01
9,15,-8.7256e-01
9,16,-5.1505e-01
9,17,-7.3199e-01
9,18,-5.7679e-01
9,19,2.0409e-01
9,20,-3.8252e-01
10,11,-5.6358e-01
10,12,-2.4626e-01
10,13,-2.4287e-01
10,14,3.2241e-01
10,15,4.1639e-01
10,16,-1.7274e-01
10,17,1.7474e-01
10,18,2.6050e-01
10,19,2.3727e-01
10,20,9.4399e-02
11,12,-1.1669e-01
11,13,-1.8028e-01
11,14,-1.8893e-01
11,15,-1.6931e-01
11,16,-5.4223e-02
11,17,-4.2036e-01
11,18,-5.6682e-02
11,19,-1.9507e-01
11,20,-6.0025e-01
12,13,1.0200e-01
12,14,1.2837e-01
12,15,-3.6178e-01
12,16,2.0465e-01
12,17,-8.4066e-02
12,18,1.4496e-01
12,19,-7.9952e-02
12,20,-1.0024e-01
13,14,-5.5503e-01
13,15,-1.0726e-01
13,16,4.4068e-01
13,17,-4.4364e-01
13,18,4.1588e-01
13,19,1.2976e-01
13,20,1.5452e-01
14,15,4.8315e-01
14,16,8.2279e-02
14,17,2.9225e-01
14,18,2.0311e-01
14,19,-2.8062e-01
14,20,-4.1776e-02
15,16,-3.8616e-01
15,17,-3.4782e-01
15,18,-2.5334e-01
15,19,1.6048e-01
15,20,1.2311e-01
16,17,8.1392e-02
16,18,-1.3317e-01
16,19,7.5463e-02
16,20,-2.2191e-01
17,18,1.3167e-01
17,19,4.2584e-01
17,20,-5.8708e-01
18,19,1.2348e-01
18,20,-1.0442e-01
19,20,7.0460e-03
