n1,n2,fij
1,2,-3.3977e-01
1,3,-1.2206e-01
1,4,-3.6762e-01
1,5,-2.3054e-01
1,6,-2.4234e-01
1,7,-2.7020e-01
1,8,-6.6728e-01
1,9,7.2318e-02
1,10,-1.9743e-01
1,11,-6.6721e-02
1,12,-5.0624e-01
1,13,-1.2396e-01
1,14,-6.6651e-01
1,15,-4.0485e-01
1,16,-1.4423e-01
1,17,-3.9481e-01
1,18,-1.8319e-01
1,19,-1.7172e-01
1,20,-4.6166e-01
2,3,4.1632e-01
2,4,5.3534e-02
2,5,3.6997e-02
2,6,3.8575e-01
2,7,3.3057e-01
2,8,1.8434e-02
2,9,4.9661e-01
2,10,-5.4062e-02
2,11,-3.1722e-02
2,12,-6.0786e-02
2,13,1.9605e-01
2,14,-3.5708e-01
2,15,-7.4840e-02
2,16,-1.3433e-01
2,17,-2.4031e-01
2,18,1.9500e-01
2,19,2.0494e-02
2,20,-8.7790e-02
3,4,-1.1918e-01
3,5,-3.5355e-01
3,6,-2.0733e-01
3,7,-3.2805e-01
3,8,-4.8069e-01
3,9,4.1605e-02
3,10,-2.6609e-01
3,11,-8.1321e-03
3,12,-3.5212e-01
3,13,-1.1700e-01
3,14,-4.6098e-01
3,15,-5.1977e-01
3,16,-4.9263e-01
3,17,-8.3412e-02
3,18,-2.4594e-01
3,19,-1.2028e-01
3,20,-2.0796e-01
4,5,-4.5260e-02
4,6,2.6608e-01
4,7,2.5230e-01
4,8,-4.9299e-01
4,9,-1.1999e-01
4,10,9.9281e-02
4,11,2.0630e-01
4,12,4.3549e-03
4,13,1.0599e-01
4,14,-1.1542e-01
4,15,-1.5954e-01
4,16,1.1972e-01
4,17,6.0277e-03
4,18,5.1397e-02
4,19,2.2757e-01
4,20,-9.2924e-02
5,6,-9.7024e-02
5,7,1.6112e-01
5,8,-1.2465e-01
5,9,-2.9229e-02
5,10,-1.4158e-01
5,11,2.8392e-01
5,12,-5.7216e-02
5,13,3.0336e-01
5,14,-3.7107e-01
5,15,1.6929e-02
5,16,9.2907e-02
5,17,-1.1632e-01
5,18,3.9955e-02
5,19,1.1747e-01
5,20,-1.2146e-01
6,7,1.4032e-01
6,8,-3.0771e-01
6,9,-5.3713e-02
6,10,8.4863e-03
6,11,1.8284e-01
6,12,-3.1781e-01
6,13,3.1052e-02
6,14,6.0565e-03
6,15,-2.3799e-01
6,16,-1.2630e-01
6,17,-3.1883e-01
6,18,-2.2939e-01
6,19,-1.8047e-02
6,20,-1.2415e-02
7,8,-1.8557e-01
7,9,-3.0635e-01
7,10,1.2309e-01
7,11,-1.3060e-02
7,12,-8.1526e-02
7,13,-3.3564e-02
7,14,-2.2285e-01
7,15,-2.2023e-01
7,16,-2.5339e-02
7,17,-1.6241e-01
7,18,-2.8396e-01
7,19,5.4694e-02
7,20,-1.7473e-01
8,9,5.2359e-01
8,10,-5.2532e-03
8,11,1.0444e-01
8,12,9.3461e-02
8,13,3.1182e-01
8,14,5.1937e-02
8,15,-3.2572e-02
8,16,1.1054e-01
8,17,1.3328e-01
8,18,1.9585e-01
8,19,4.9445e-01
8,20,-2.2847e-01
9,10,2.5025e-01
9,11,-1.2277e-01
9,12,-2.4239e-01
9,13,-4.4079e-02
9,14,-4.2574e-01
9,15,-6.1247e-01
9,16,-4.5987e-01
9,17,-4.5549e-01
9,18,-3.5901e-01
9,19,9.4709e-02
9,20,-2.8576e-01
10,11,-3.1984e-01
10,12,-1.3966e-01
10,13,2.0282e-01
10,14,-6.3273e-03
10,15,1.4130e-01
10,16,3.8213e-02
10,17,3.1134e-01
10,18,2.2596e-01
10,19,3.0041e-01
10,20,-7.5285e-02
11,12,-1.8899e-01
11,13,8.3857e-03
11,14,-3.8364e-01
11,15,-3.0304e-01
11,16,-1.6356e-02
11,17,-3.7820e-01
11,18,-1.6837e-01
11,19,-9.8951e-03
11,20,-4.9687e-01
12,13,3.3232e-01
12,14,-3.1887e-01
12,15,-3.4640e-01
12,16,3.1085e-01
12,17,-1.7071e-01
12,18,3.2714e-01
12,19,9.7439e-03
12,20,-4.9323e-02
13,14,-5.0138e-01
13,15,-1.9983e-01
13,16,1.7574e-01
13,17,-3.9490e-01
13,18,1.8482e-01
13,19,-4.9821e-02
13,20,-2.0931e-01
14,15,7.6073e-02
14,16,1.9633e-01
14,17,2.8253e-02
14,18,1.9030e-01
14,19,1.5879e-01
14,20,7.0907e-02
15,16,-1.4508e-01
15,17,-1.2305e-01
15,18,-3.4504e-01
15,19,1.9172e-01
15,20,2.6271e-03
16,17,-1.6006e-01
16,18,-8.2931e-02
16,19,-8.9027e-02
16,20,-2.0764e-01
17,18,1.2878e-01
17,19,3.9418e-01
17,20,-1.8994e-01
18,19,1.5390e-01
18,20,-3.2725e-02
19,20,-2.3814e-01
