match,team1,direct_play,counterattack,T_maintenance,T_build_up,T_zona_media,flow_rate,crossing,pressure_point,pressure_loss,shots,liga
2499719,1609,356.9037628925593,38.47538810910649,253.64009799999928,448.69655199999846,716.0294170000003,20.86817975871323,8,2086.0,50.52834099999927,9,England
2499719,1631,151.37175638249244,14.92057986371903,116.388608,432.76302000000015,211.27703600000143,7.82801700911544,3,1135.0,31.902325000000474,0,England
2499720,1625,395.1310111222978,37.841597237358066,190.94816000000105,650.6791420000013,1158.997712999999,18.684611876215,11,3026.0,198.0910600000003,4,England
2499720,1651,126.91337604006887,25.46366845222637,105.21115600000064,109.99344899999983,143.0425250000003,4.997536554164318,2,825.0,30.29417499999903,1,England
2499721,1610,361.44058133572696,35.106562783330126,499.2891760000003,314.87936899999977,642.5527920000002,11.853228724855942,8,1412.0,99.72762100000051,3,England
2499721,1646,206.40273832316572,11.947075199824376,209.57434500000022,92.17645299999958,478.2395319999994,5.234225759833523,4,1113.0,182.26642199999992,2,England
2499722,1628,228.07301767957196,18.612512843374873,228.1963130000001,89.15105900000071,285.6818329999995,6.104490319230955,3,1131.0,121.17550000000108,0,England
2499722,1673,153.25909233621798,20.80604005886871,152.8721220000005,382.1426210000002,272.8761700000001,5.482064093347114,8,1574.0,84.52966299999957,3,England
2499723,1623,238.6760206817764,19.527496806070424,488.59755899999953,211.01740399999937,313.06644100000165,10.747623559852165,8,1524.0,58.45739000000003,1,England
2499723,1639,288.8574556179893,53.16604671726744,149.5662100000003,225.75194700000088,292.54355800000087,6.467514413943776,5,1128.0,96.17817099999911,2,England
2499724,1611,232.7372292790369,40.98204050683145,325.77433499999876,213.6239539999998,534.3030149999995,13.763698863687518,5,1921.0,85.29495199999928,7,England
2499724,1633,262.05422309953485,35.38048188216032,298.2375490000004,234.83828799999935,494.3791539999996,6.9284077890101345,5,1416.0,64.2173359999997,2,England
2499725,1613,119.65377431680557,30.630145513600368,123.57484999999957,76.87545700000078,86.05856800000024,2.7093938482363638,3,730.0,86.43479000000082,1,England
2499725,1624,373.4023594490126,41.95463556871518,494.97675399999923,771.9698259999998,855.2571860000021,17.952719867500438,10,2674.0,29.39109200000007,6,England
2499726,1619,289.3997474107,43.537631288849965,172.75779499999896,435.04144700000035,455.21031700000276,24.074087914089397,15,2759.0,119.44254199999975,9,England
