n1,n2,fij
1,2,-5.6573e-01
1,3,-1.3032e-01
1,4,-5.0431e-01
1,5,-6.0617e-01
1,6,5.5332e-01
1,7,-9.6822e-01
1,8,-9.0896e-01
1,9,-1.0357e+00
1,10,-2.5567e+00
1,11,-8.9251e-01
1,12,-1.5264e+00
1,13,-1.7531e+00
1,14,-2.4437e+00
1,15,-1.9756e+00
1,16,-1.8065e+00
1,17,-1.1358e+00
1,18,-6.9225e-01
1,19,-1.0941e+00
1,20,-1.6959e+00
2,3,7.1208e-01
2,4,4.1347e-01
2,5,-5.0626e-02
2,6,3.5246e-01
2,7,-6.4205e-01
2,8,-2.2746e-01
2,9,-8.3602e-02
2,10,-8.5842e-01
2,11,-1.1978e-01
2,12,6.1168e-01
2,13,-4.3816e-01
2,14,1.8208e-01
2,15,-7.6218e-01
2,16,-1.1587e+00
2,17,4.3833e-01
2,18,-2.6113e-01
2,19,-8.3780e-02
2,20,-7.1994e-01
3,4,1.6873e-01
3,5,-3.4622e-01
3,6,-5.4312e-02
3,7,-1.6577e-01
3,8,-2.7928e-01
3,9,-4.4646e-01
3,10,-1.1206e+00
3,11,-1.5520e+00
3,12,-1.1007e+00
3,13,-5.8699e-01
3,14,-1.6814e-01
3,15,-7.7122e-01
3,16,-1.5088e-01
3,17,1.2903e-01
3,18,-3.0035e-01
3,19,-1.4527e+00
3,20,-1.5159e+00
4,5,-1.9004e-01
4,6,3.9951e-01
4,7,-9.7708e-01
4,8,-1.5222e+00
4,9,-6.6049e-01
4,10,-1.0927e+00
4,11,-7.3970e-01
4,12,-2.9927e-02
4,13,-1.1124e-01
4,14,8.7287e-01
4,15,-1.2283e+00
4,16,-1.5008e+00
4,17,3.0457e-01
4,18,-1.1178e+00
4,19,-5.3370e-01
4,20,-5.0615e-01
5,6,9.1809e-01
5,7,-9.5368e-01
5,8,-6.2112e-01
5,9,3.3973e-02
5,10,-4.9095e-01
5,11,-7.4153e-02
5,12,-7.3743e-01
5,13,-1.2424e+00
5,14,5.9850e-01
5,15,-9.0170e-01
5,16,-1.7590e+00
5,17,-6.6107e-01
5,18,-1.7878e-03
5,19,2.3282e-01
5,20,-3.0732e-01
6,7,-1.0086e+00
6,8,4.5980e-01
6,9,2.2797e-01
6,10,-2.2606e+00
6,11,-6.4673e-01
6,12,-8.2988e-01
6,13,-1.5777e+00
6,14,-1.2335e-01
6,15,-5.2698e-01
6,16,-7.1159e-01
6,17,-1.1028e+00
6,18,-1.1844e+00
6,19,-1.4066e+00
6,20,-1.0995e+00
7,8,3.5854e-01
7,9,6.2927e-01
7,10,-8.1810e-02
7,11,5.0533e-01
7,12,-3.8749e-03
7,13,1.1701e-01
7,14,1.4224e+00
7,15,8.1681e-01
7,16,-1.2991e-01
7,17,5.9151e-01
7,18,7.9911e-01
7,19,3.7162e-01
7,20,5.6516e-01
8,9,-5.7976e-01
8,10,3.8935e-01
8,11,7.0419e-01
8,12,-4.1362e-01
8,13,3.4988e-01
8,14,-2.5817e-02
8,15,-2.0609e-01
8,16,-2.9611e-01
8,17,2.7201e-01
8,18,-6.7409e-01
8,19,9.4847e-01
8,20,1.3178e-02
9,10,-1.1276e+00
9,11,-1.9501e-02
9,12,5.4904e-01
9,13,-3.5992e-01
9,14,5.3758e-01
9,15,3.2857e-02
9,16,-8.4225e-01
9,17,3.0819e-01
9,18,-4.2225e-01
9,19,-7.9117e-02
9,20,-1.1745e-01
10,11,-1.9215e-01
10,12,1.1093e-01
10,13,1.3223e+00
10,14,-2.5254e-01
10,15,-8.5415e-02
10,16,-2.7677e-01
10,17,1.2877e+00
10,18,-8.6934e-01
10,19,-4.3074e-01
10,20,-3.6089e-01
11,12,-9.7133e-01
11,13,1.8736e-01
11,14,-1.0583e+00
11,15,-2.4874e-01
11,16,1.4871e+00
11,17,9.5308e-01
11,18,-9.4367e-01
11,19,6.9702e-01
11,20,-3.0885e-01
12,13,1.6866e-01
12,14,8.1499e-01
12,15,-5.7220e-01
12,16,8.7654e-01
12,17,-6.7136e-01
12,18,4.8576e-01
12,19,2.8003e-01
12,20,-8.2336e-01
13,14,1.7913e-01
13,15,2.6305e-01
13,16,-2.0739e-01
13,17,5.9690e-01
13,18,-3.7635e-01
13,19,-8.5440e-04
13,20,-9.3122e-02
14,15,-3.0396e-01
14,16,4.0290e-01
14,17,3.0240e-01
14,18,2.4432e-01
14,19,-9.2135e-02
14,20,-9.2025e-01
15,16,1.7778e-01
15,17,1.0273e+00
15,18,5.3502e-01
15,19,4.6904e-01
15,20,2.7003e-01
16,17,2.1173e-01
16,18,-3.7338e-01
16,19,-1.3104e+00
16,20,-9.5974e-01
17,18,-1.1587e+00
17,19,-1.0387e+00
17,20,-7.4984e-01
18,19,5.2026e-01
18,20,-3.7413e-01
19,20,-2.7754e-01
