n1,n2,fij
1,2,-8.3060e-01
1,3,2.2138e-01
1,4,-1.1363e+00
1,5,-1.6303e+00
1,6,-2.8116e-01
1,7,-1.1321e+00
1,8,-1.4340e+00
1,9,-1.3791e+00
1,10,-2.3674e+00
1,11,-1.3131e+00
1,12,-2.1049e+00
1,13,-1.4962e+00
1,14,-1.2374e+00
1,15,-1.3438e+00
1,16,-2.3832e+00
1,17,-1.3534e+00
1,18,-1.7041e+00
1,19,-2.0918e+00
1,20,-1.7337e+00
2,3,5.0794e-01
2,4,1.1711e+00
2,5,9.6039e-02
2,6,6.2188e-01
2,7,-7.3036e-01
2,8,-2.4218e-01
2,9,-5.1775e-01
2,10,-6.3689e-01
2,11,-6.5507e-01
2,12,-3.7463e-01
2,13,4.9070e-02
2,14,4.8690e-01
2,15,-4.8830e-01
2,16,-1.2279e+00
2,17,-2.5500e-01
2,18,-3.1263e-01
2,19,-8.0091e-01
2,20,-5.2263e-01
3,4,2.1773e-01
3,5,-5.4370e-01
3,6,-3.1810e-01
3,7,-1.1297e+00
3,8,-2.0426e-01
3,9,-8.0197e-01
3,10,-1.5630e+00
3,11,-1.3116e+00
3,12,-1.4312e+00
3,13,-1.2013e+00
3,14,-3.2265e-01
3,15,-2.0117e+00
3,16,-1.2379e+00
3,17,-2.0129e-01
3,18,-1.0712e+00
3,19,-1.5324e+00
3,20,-1.7451e+00
4,5,-8.1008e-01
4,6,3.8564e-01
4,7,-5.2209e-01
4,8,-1.9657e+00
4,9,-1.9010e-01
4,10,-1.9237e+00
4,11,-1.3096e+00
4,12,-7.2001e-01
4,13,-1.0586e+00
4,14,-7.0441e-01
4,15,-1.0920e+00
4,16,-1.4568e+00
4,17,2.4046e-01
4,18,-1.0092e+00
4,19,-1.1063e+00
4,20,-1.4777e+00
5,6,7.1248e-01
5,7,-5.1408e-02
5,8,-2.2787e-01
5,9,-2.3299e-01
5,10,-8.3535e-01
5,11,-1.6781e-01
5,12,-5.4060e-01
5,13,-7.5545e-01
5,14,2.2186e-01
5,15,-3.4041e-01
5,16,-1.0120e+00
5,17,1.1376e-01
5,18,-2.1046e-01
5,19,-2.3383e-02
5,20,-3.5382e-01
6,7,-3.2952e-01
6,8,-1.1112e+00
6,9,-1.1012e+00
6,10,-1.7476e+00
6,11,-1.7434e-01
6,12,-5.1786e-01
6,13,-7.9485e-01
6,14,-3.6482e-01
6,15,-1.1148e+00
6,16,-6.7044e-01
6,17,-7.0216e-01
6,18,-1.3677e+00
6,19,-1.1366e+00
6,20,-7.2975e-01
7,8,3.5044e-01
7,9,5.3130e-01
7,10,-7.2356e-02
7,11,-2.3024e-01
7,12,4.6425e-01
7,13,-5.1563e-01
7,14,-4.6650e-01
7,15,5.5099e-02
7,16,4.9022e-02
7,17,4.1444e-02
7,18,-4.6542e-01
7,19,2.4170e-01
7,20,-4.2436e-01
8,9,-3.3077e-02
8,10,-1.7693e-01
8,11,8.2409e-01
8,12,-2.9653e-01
8,13,6.3687e-02
8,14,6.5830e-01
8,15,-2.3799e-01
8,16,-1.4841e-02
8,17,4.6679e-01
8,18,-1.4448e-02
8,19,5.9855e-02
8,20,3.5989e-02
9,10,-1.1381e+00
9,11,-4.1997e-01
9,12,6.7918e-01
9,13,-8.5177e-01
9,14,4.3224e-01
9,15,-1.0834e-01
9,16,3.5665e-01
9,17,1.5467e-01
9,18,-2.0165e-01
9,19,-1.7799e-01
9,20,-2.8463e-01
10,11,-3.0176e-01
10,12,4.3173e-01
10,13,1.6100e+00
10,14,-5.8730e-01
10,15,2.7622e-01
10,16,-4.7493e-01
10,17,1.0809e+00
10,18,8.0880e-01
10,19,4.9822e-01
10,20,-8.5150e-01
11,12,6.7731e-01
11,13,-6.0407e-01
11,14,-3.6060e-01
11,15,3.0292e-01
11,16,4.7154e-01
11,17,1.0177e+00
11,18,-3.3433e-01
11,19,3.1402e-01
11,20,-2.2254e-01
12,13,3.4099e-01
12,14,-1.1908e-01
12,15,-6.8396e-01
12,16,1.5076e+00
12,17,-5.0378e-01
12,18,7.1329e-02
12,19,1.8007e-01
12,20,-1.4000e+00
13,14,1.4298e-01
13,15,-2.8313e-01
13,16,7.6251e-01
13,17,7.8643e-01
13,18,-2.0742e-01
13,19,-2.0241e-01
13,20,-6.3348e-01
14,15,1.0839e-01
14,16,-4.3449e-01
14,17,1.4508e-01
14,18,-8.8128e-01
14,19,1.3607e-02
14,20,-1.3339e+00
15,16,5.1384e-01
15,17,5.6489e-01
15,18,-7.7600e-03
15,19,6.9277e-01
15,20,4.3924e-01
16,17,9.8108e-01
16,18,-4.1094e-01
16,19,-6.1558e-01
16,20,6.7596e-01
17,18,-1.6612e+00
17,19,-6.4371e-02
17,20,-1.0120e+00
18,19,3.6223e-01
18,20,-2.6610e-02
19,20,-7.6901e-02
