n1,n2,fij
1,2,-1.4897e+00
1,3,-7.6727e-02
1,4,1.7300e-01
1,5,-8.7373e-01
1,6,-5.1737e-01
1,7,-1.0950e+00
1,8,-1.0854e+00
1,9,-1.5132e+00
1,10,-1.3626e+00
1,11,-1.7204e+00
1,12,-1.2665e+00
1,13,-1.0976e+00
1,14,-1.1089e+00
1,15,-1.0997e+00
1,16,-1.4055e+00
1,17,-1.3961e+00
1,18,-5.8397e-01
1,19,-1.4987e+00
1,20,-5.0125e-01
2,3,6.3241e-01
2,4,1.3409e+00
2,5,6.1273e-01
2,6,5.3694e-01
2,7,-8.8055e-01
2,8,-3.2673e-01
2,9,-4.9238e-01
2,10,6.3674e-01
2,11,-8.7558e-01
2,12,2.3895e-01
2,13,-2.8638e-01
2,14,4.6294e-01
2,15,-9.0912e-02
2,16,-6.0701e-01
2,17,-7.3155e-01
2,18,-3.2081e-01
2,19,-2.0488e-01
2,20,-7.8517e-01
3,4,-2.2963e-01
3,5,2.8030e-02
3,6,5.4843e-01
3,7,-8.4636e-01
3,8,-7.6872e-01
3,9,-3.8919e-01
3,10,-5.4451e-01
3,11,-4.5144e-01
3,12,-7.7244e-01
3,13,-1.3720e+00
3,14,-3.9363e-01
3,15,-5.4857e-01
3,16,-1.1706e+00
3,17,-2.8604e-01
3,18,-1.1636e+00
3,19,-7.8766e-01
3,20,-1.1562e+00
4,5,1.1153e-01
4,6,5.3797e-02
4,7,-9.5754e-01
4,8,-1.9078e+00
4,9,-1.3450e-01
4,10,-2.0920e-01
4,11,-1.3994e+00
4,12,-3.8064e-01
4,13,-9.8413e-01
4,14,-1.1344e+00
4,15,-1.8729e-01
4,16,-1.5430e+00
4,17,-3.1929e-01
4,18,-8.8582e-01
4,19,-5.5105e-01
4,20,-1.4400e+00
5,6,5.6056e-01
5,7,-8.5585e-01
5,8,3.0814e-01
5,9,-3.1951e-01
5,10,-3.9730e-01
5,11,-6.8427e-01
5,12,-1.0289e-01
5,13,-1.2424e+00
5,14,5.2377e-01
5,15,-3.3615e-01
5,16,-1.3576e+00
5,17,-4.4223e-01
5,18,-3.2260e-01
5,19,-3.4109e-01
5,20,-6.6105e-01
6,7,-1.0947e+00
6,8,-4.7714e-01
6,9,-5.7140e-01
6,10,-1.6151e+00
6,11,-7.6991e-01
6,12,-9.6413e-01
6,13,-1.1398e+00
6,14,-5.4474e-01
6,15,3.1703e-02
6,16,-6.0588e-01
6,17,-5.5287e-01
6,18,-1.3664e+00
6,19,-1.3987e+00
6,20,-6.1142e-01
7,8,3.1157e-01
7,9,7.3095e-01
7,10,1.8964e-01
7,11,-2.0521e-01
7,12,9.2203e-01
7,13,-5.2637e-01
7,14,4.8693e-02
7,15,8.0603e-01
7,16,2.7093e-01
7,17,1.1069e+00
7,18,-1.2806e-01
7,19,3.3507e-01
7,20,-5.5665e-02
8,9,5.1288e-02
8,10,4.4529e-01
8,11,-8.7934e-02
8,12,-5.3893e-02
8,13,-5.4867e-01
8,14,8.2900e-01
8,15,-4.4652e-01
8,16,-2.0449e-01
8,17,-9.5342e-02
8,18,2.8975e-01
8,19,-7.6761e-01
8,20,-2.2415e-01
9,10,6.0108e-02
9,11,1.7502e-02
9,12,5.6101e-01
9,13,-2.1631e-01
9,14,4.9566e-02
9,15,4.7761e-02
9,16,-4.4887e-01
9,17,1.9738e-01
9,18,2.0408e-01
9,19,5.0968e-01
9,20,-5.3504e-01
10,11,-8.7753e-01
10,12,7.8618e-01
10,13,-3.5955e-01
10,14,-5.1518e-01
10,15,2.7244e-01
10,16,-2.3644e-01
10,17,6.2796e-01
10,18,4.7123e-01
10,19,-4.7364e-01
10,20,-5.1180e-01
11,12,3.2460e-02
11,13,-7.2600e-01
11,14,-1.6623e-01
11,15,-1.8308e-01
11,16,7.5378e-01
11,17,1.0465e+00
11,18,-4.6526e-01
11,19,-1.6459e-01
11,20,-3.3494e-01
12,13,-8.8415e-01
12,14,4.2412e-01
12,15,-2.4694e-01
12,16,7.5272e-01
12,17,-1.7352e-01
12,18,-2.3866e-01
12,19,-2.1737e-01
12,20,-9.8943e-01
13,14,6.7141e-01
13,15,4.8356e-01
13,16,-3.4758e-02
13,17,1.0478e+00
13,18,-4.7026e-01
13,19,-4.9889e-01
13,20,-5.6492e-01
14,15,5.6993e-02
14,16,6.6714e-02
14,17,5.6821e-01
14,18,-3.4129e-01
14,19,1.6136e-02
14,20,-1.0330e+00
15,16,-9.0755e-02
15,17,9.0389e-01
15,18,-4.8862e-01
15,19,-7.6858e-02
15,20,3.1289e-01
16,17,2.8938e-01
16,18,-9.7371e-02
16,19,-1.5023e+00
16,20,-1.0333e+00
17,18,-6.0321e-01
17,19,-6.3060e-01
17,20,-3.8413e-01
18,19,4.3946e-01
18,20,-1.6220e-01
19,20,-1.5779e-01
