n1,n2,fij
1,2,-7.1245e-01
1,3,1.3807e-01
1,4,-3.3862e-01
1,5,-4.5303e-01
1,6,-3.4016e-02
1,7,-7.1854e-01
1,8,-8.0727e-01
1,9,-9.7301e-01
1,10,-1.5470e+00
1,11,-1.0329e+00
1,12,-8.6144e-01
1,13,-9.1497e-01
1,14,-1.0403e+00
1,15,-7.3483e-01
1,16,-1.6447e+00
1,17,-6.5864e-01
1,18,-1.0314e+00
1,19,-1.2681e+00
1,20,-7.7215e-01
2,3,2.9244e-01
2,4,8.1158e-01
2,5,1.5322e-01
2,6,3.3745e-01
2,7,-4.5537e-01
2,8,-2.7425e-03
2,9,-3.6570e-01
2,10,-5.9427e-01
2,11,-7.7139e-01
2,12,-1.0249e-01
2,13,-2.7568e-02
2,14,3.3674e-01
2,15,-4.0881e-01
2,16,-1.0113e+00
2,17,1.0012e-01
2,18,-4.7101e-01
2,19,-4.0312e-01
2,20,-4.2558e-01
3,4,-1.1755e-03
3,5,-3.2003e-01
3,6,1.2614e-01
3,7,-4.2908e-01
3,8,-1.8686e-01
3,9,-7.0864e-01
3,10,-7.7121e-01
3,11,-1.1089e+00
3,12,-7.0503e-01
3,13,-4.5742e-01
3,14,-2.7109e-01
3,15,-5.2608e-01
3,16,-6.4895e-01
3,17,-2.6256e-01
3,18,-8.0612e-01
3,19,-7.0807e-01
3,20,-1.0161e+00
4,5,7.8280e-03
4,6,2.1240e-01
4,7,-5.4730e-01
4,8,-1.4373e+00
4,9,-4.3431e-01
4,10,-8.1544e-01
4,11,-8.8923e-01
4,12,-1.7051e-01
4,13,-6.4168e-01
4,14,-3.5822e-01
4,15,-3.7336e-01
4,16,-1.1778e+00
4,17,6.9461e-02
4,18,-7.3414e-01
4,19,-6.1246e-01
4,20,-8.0030e-01
5,6,5.3842e-01
5,7,-5.7896e-01
5,8,-3.6001e-02
5,9,-4.6487e-01
5,10,-6.0637e-01
5,11,-4.1921e-01
5,12,-3.1856e-01
5,13,-5.6527e-01
5,14,2.9248e-02
5,15,-3.3850e-01
5,16,-8.0036e-01
5,17,-3.1011e-01
5,18,-3.4618e-01
5,19,-9.0446e-02
5,20,-3.9266e-01
6,7,-3.4672e-01
6,8,-2.7966e-01
6,9,-3.4407e-01
6,10,-1.5643e+00
6,11,-4.3221e-01
6,12,-5.8735e-01
6,13,-8.3960e-01
6,14,-4.6595e-01
6,15,-3.1338e-01
6,16,-4.9697e-01
6,17,-4.1040e-01
6,18,-1.3809e+00
6,19,-7.8689e-01
6,20,-5.9891e-01
7,8,2.1159e-01
7,9,4.9385e-01
7,10,-1.9014e-02
7,11,-2.4870e-01
7,12,8.1878e-02
7,13,-3.6334e-01
7,14,9.7877e-02
7,15,3.5826e-02
7,16,1.2184e-01
7,17,1.6761e-01
7,18,-1.7624e-01
7,19,-1.8569e-02
7,20,2.0145e-01
8,9,-1.6294e-01
8,10,1.5964e-01
8,11,1.9244e-01
8,12,-6.0775e-01
8,13,-2.6490e-01
8,14,1.7995e-01
8,15,-3.8077e-01
8,16,-3.0222e-01
8,17,-5.8328e-02
8,18,-3.3565e-03
8,19,-3.2356e-01
8,20,-4.9788e-02
9,10,-6.4336e-01
9,11,-3.7718e-01
9,12,1.4334e-01
9,13,-1.5323e-01
9,14,5.7547e-02
9,15,3.5676e-01
9,16,-5.6504e-02
9,17,2.4169e-01
9,18,-3.8002e-01
9,19,-1.3112e-01
9,20,-4.5469e-01
10,11,-5.0696e-01
10,12,1.8504e-01
10,13,8.8132e-01
10,14,-4.9634e-01
10,15,3.3288e-01
10,16,-4.4900e-01
10,17,8.7884e-01
10,18,3.6781e-01
10,19,1.0604e-01
10,20,-5.4619e-01
11,12,-1.0140e-01
11,13,-3.3901e-01
11,14,-3.8254e-01
11,15,1.3962e-01
11,16,2.1896e-01
11,17,1.1886e+00
11,18,-3.3998e-01
11,19,5.1009e-01
11,20,-2.0009e-01
12,13,-2.5569e-01
12,14,2.4919e-01
12,15,-2.5571e-01
12,16,5.3534e-01
12,17,-2.2617e-01
12,18,7.4377e-02
12,19,2.7094e-01
12,20,-6.7543e-01
13,14,3.9780e-01
13,15,7.8884e-02
13,16,7.1060e-01
13,17,4.8892e-01
13,18,7.9207e-02
13,19,-3.1484e-01
13,20,-5.3483e-01
14,15,4.2678e-01
14,16,-3.2700e-01
14,17,4.5000e-01
14,18,-5.4540e-02
14,19,-2.7510e-02
14,20,-6.6388e-01
15,16,1.7789e-01
15,17,7.0679e-01
15,18,2.5885e-01
15,19,1.1064e-01
15,20,3.5275e-01
16,17,5.9386e-01
16,18,-2.7881e-01
16,19,-9.0463e-01
16,20,-2.2793e-01
17,18,-7.4032e-01
17,19,-2.5016e-01
17,20,-6.5170e-01
18,19,8.3892e-02
18,20,-1.4091e-01
19,20,2.7049e-01
