n1,n2,fij
1,2,-7.6541e-01
1,3,-2.8702e-02
1,4,-2.5020e-01
1,5,-8.3541e-01
1,6,1.4242e-01
1,7,-9.4660e-01
1,8,-9.6412e-01
1,9,-1.7502e+00
1,10,-1.7342e+00
1,11,-1.2131e+00
1,12,-2.1180e+00
1,13,-1.5301e+00
1,14,-1.3449e+00
1,15,-1.6637e+00
1,16,-1.9017e+00
1,17,-1.1880e+00
1,18,-1.4408e+00
1,19,-2.2399e+00
1,20,-2.3513e+00
2,3,1.6593e-01
2,4,5.8218e-01
2,5,2.9922e-02
2,6,3.7714e-01
2,7,-7.9662e-01
2,8,-4.0240e-01
2,9,-5.7322e-01
2,10,-5.5892e-01
2,11,-3.0924e-01
2,12,8.9267e-03
2,13,-1.6507e-01
2,14,1.2811e-01
2,15,-7.5951e-01
2,16,-1.5973e+00
2,17,9.7958e-02
2,18,-5.0736e-01
2,19,-7.3924e-01
2,20,-6.7809e-01
3,4,-2.4544e-01
3,5,-3.3077e-01
3,6,-1.8732e-01
3,7,-6.0930e-01
3,8,-6.0943e-01
3,9,-8.5726e-01
3,10,-1.2702e+00
3,11,-1.4556e+00
3,12,-1.2550e+00
3,13,-6.7662e-01
3,14,-3.6625e-01
3,15,-1.0577e+00
3,16,-4.5079e-01
3,17,-4.3890e-01
3,18,-5.2614e-01
3,19,-1.5052e+00
3,20,-1.7904e+00
4,5,-5.6746e-01
4,6,-5.9091e-02
4,7,-7.3117e-01
4,8,-9.2509e-01
4,9,-6.8666e-01
4,10,-9.9129e-01
4,11,-1.0033e+00
4,12,-4.0752e-01
4,13,-7.3915e-02
4,14,2.1567e-01
4,15,-7.1989e-01
4,16,-1.1553e+00
4,17,-2.9226e-01
4,18,-1.0207e+00
4,19,-1.0410e+00
4,20,-4.7962e-01
5,6,7.1633e-01
5,7,-6.5938e-01
5,8,-1.1545e+00
5,9,-1.7513e-01
5,10,-6.9133e-01
5,11,-3.5188e-01
5,12,-5.2893e-01
5,13,-1.1857e+00
5,14,8.1589e-03
5,15,-6.3285e-01
5,16,-1.5329e+00
5,17,-4.4490e-01
5,18,8.2712e-02
5,19,-3.0290e-01
5,20,-3.8501e-01
6,7,-5.6739e-01
6,8,-3.8224e-01
6,9,-6.6872e-01
6,10,-1.6855e+00
6,11,-4.4034e-01
6,12,-9.6415e-01
6,13,-1.1753e+00
6,14,-1.8045e-01
6,15,-5.8970e-01
6,16,-6.2861e-01
6,17,-9.4956e-01
6,18,-1.2409e+00
6,19,-1.3983e+00
6,20,-8.8773e-01
7,8,4.9919e-01
7,9,5.1807e-01
7,10,-3.4990e-03
7,11,5.4361e-01
7,12,-4.9348e-02
7,13,8.9785e-02
7,14,4.0675e-01
7,15,6.5936e-01
7,16,-1.9029e-01
7,17,4.9166e-01
7,18,-4.4571e-01
7,19,4.1463e-01
7,20,-6.4313e-01
8,9,-3.4260e-01
8,10,1.7146e-01
8,11,6.6389e-01
8,12,7.7297e-03
8,13,5.4829e-01
8,14,3.1680e-01
8,15,-3.3201e-01
8,16,2.9813e-01
8,17,2.7871e-01
8,18,-4.4299e-01
8,19,2.2562e-01
8,20,-6.1964e-02
9,10,-6.0089e-01
9,11,3.7511e-01
9,12,4.2580e-01
9,13,2.0657e-01
9,14,-1.3617e-01
9,15,1.4559e-01
9,16,2.4866e-01
9,17,1.3459e-01
9,18,-3.3150e-01
9,19,-1.4740e-02
9,20,-2.3295e-01
10,11,4.4680e-01
10,12,2.1325e-01
10,13,5.5749e-01
10,14,-7.0256e-01
10,15,-2.4384e-01
10,16,-3.2135e-01
10,17,3.9072e-01
10,18,3.2931e-01
10,19,-5.0130e-02
10,20,-5.7554e-01
11,12,-2.1338e-01
11,13,-3.2314e-01
11,14,-2.6120e-01
11,15,-4.7579e-02
11,16,2.2207e-01
11,17,1.9673e-01
11,18,-4.6746e-01
11,19,-4.8776e-03
11,20,-2.6389e-01
12,13,-2.4930e-02
12,14,3.6577e-01
12,15,-2.4827e-01
12,16,6.5508e-01
12,17,-3.3260e-01
12,18,1.8154e-01
12,19,1.7586e-01
12,20,-7.5850e-01
13,14,4.1813e-01
13,15,-4.7141e-01
13,16,4.9464e-02
13,17,3.2773e-01
13,18,-2.3249e-01
13,19,1.1486e-01
13,20,1.6975e-03
14,15,1.4993e-01
14,16,-7.1622e-02
14,17,-3.0034e-01
14,18,-4.9828e-01
14,19,-3.5360e-01
14,20,-6.6063e-01
15,16,5.7105e-01
15,17,5.4570e-01
15,18,4.0367e-01
15,19,9.8870e-02
15,20,1.1815e-01
16,17,2.9782e-03
16,18,-6.1051e-01
16,19,-1.2555e+00
16,20,-2.3849e-01
17,18,-8.9761e-01
17,19,-8.8892e-01
17,20,-9.4410e-01
18,19,6.3366e-01
18,20,3.8655e-02
19,20,3.0694e-01
