n1,n2,fij
1,2,-5.8209e-01
1,3,1.3504e-03
1,4,-4.4038e-01
1,5,-5.1781e-01
1,6,1.8108e-01
1,7,-9.0623e-01
1,8,-7.5587e-01
1,9,-1.1021e+00
1,10,-2.2336e+00
1,11,-8.8738e-01
1,12,-1.4158e+00
1,13,-1.2410e+00
1,14,-1.3370e+00
1,15,-1.2528e+00
1,16,-1.9271e+00
1,17,-9.0671e-01
1,18,-1.1077e+00
1,19,-1.2043e+00
1,20,-1.4297e+00
2,3,2.1901e-01
2,4,6.7200e-01
2,5,2.1106e-01
2,6,1.9389e-01
2,7,-8.5555e-01
2,8,-2.9048e-01
2,9,-3.3283e-01
2,10,-4.7539e-01
2,11,-6.2518e-01
2,12,-5.5564e-03
2,13,-2.6919e-01
2,14,8.6168e-02
2,15,-5.5105e-01
2,16,-1.6160e+00
2,17,1.7807e-01
2,18,-8.6112e-01
2,19,-7.3662e-01
2,20,-6.5024e-01
3,4,-2.6885e-01
3,5,-3.2212e-01
3,6,-2.3419e-01
3,7,-3.7860e-01
3,8,-4.1436e-01
3,9,-7.3021e-01
3,10,-8.2494e-01
3,11,-1.3071e+00
3,12,-1.2494e+00
3,13,-7.8565e-01
3,14,-7.8160e-01
3,15,-8.2497e-01
3,16,-5.6168e-01
3,17,-5.4753e-01
3,18,-8.6995e-01
3,19,-1.1948e+00
3,20,-1.5679e+00
4,5,-2.7837e-01
4,6,1.2592e-02
4,7,-7.9731e-01
4,8,-1.2537e+00
4,9,-8.3107e-01
4,10,-1.1452e+00
4,11,-9.7189e-01
4,12,-2.7428e-01
4,13,-2.2945e-01
4,14,-2.6613e-01
4,15,-9.6315e-01
4,16,-1.2989e+00
4,17,-2.5705e-01
4,18,-1.0725e+00
4,19,-5.8581e-01
4,20,-9.2364e-01
5,6,2.1695e-01
5,7,-4.5242e-01
5,8,-5.8254e-01
5,9,-3.8874e-01
5,10,-6.5081e-01
5,11,-6.5287e-01
5,12,-5.7505e-01
5,13,-9.7958e-01
5,14,-2.3104e-01
5,15,-5.9231e-01
5,16,-1.4419e+00
5,17,-5.3287e-01
5,18,-3.4324e-01
5,19,-4.3806e-01
5,20,-3.6037e-01
6,7,-3.8356e-01
6,8,-1.5003e-01
6,9,-4.9377e-01
6,10,-1.2366e+00
6,11,-1.5974e-01
6,12,-5.0067e-01
6,13,-8.2939e-01
6,14,-1.1444e-01
6,15,-5.9681e-01
6,16,-4.2359e-01
6,17,-6.0446e-01
6,18,-1.6231e+00
6,19,-9.2345e-01
6,20,-8.9620e-01
7,8,4.4728e-01
7,9,4.7141e-01
7,10,7.9780e-02
7,11,2.2593e-01
7,12,3.5354e-01
7,13,-1.3741e-01
7,14,1.0917e-01
7,15,3.9584e-01
7,16,2.6520e-01
7,17,3.4339e-01
7,18,-5.3738e-01
7,19,4.3198e-01
7,20,-1.2685e-01
8,9,-7.1696e-02
8,10,-6.4878e-02
8,11,7.4997e-01
8,12,-2.6164e-01
8,13,2.8796e-01
8,14,4.1529e-01
8,15,-3.0633e-01
8,16,-4.1385e-02
8,17,2.3020e-01
8,18,-4.0764e-01
8,19,1.6549e-01
8,20,-1.5782e-01
9,10,-9.4411e-01
9,11,-3.2279e-01
9,12,4.4527e-01
9,13,-3.6371e-01
9,14,1.8492e-01
9,15,3.3916e-01
9,16,2.3254e-01
9,17,1.3742e-03
9,18,-5.2880e-01
9,19,5.2292e-02
9,20,-2.3193e-01
10,11,-7.2261e-02
10,12,2.6166e-01
10,13,9.5890e-01
10,14,-7.0933e-01
10,15,-6.2202e-02
10,16,-3.9189e-01
10,17,9.3883e-01
10,18,4.9407e-01
10,19,3.8568e-01
10,20,-2.9921e-01
11,12,2.3279e-02
11,13,-4.3146e-01
11,14,-3.6208e-01
11,15,2.4832e-01
11,16,7.2304e-01
11,17,5.6181e-01
11,18,-5.3335e-01
11,19,4.4398e-01
11,20,-1.3598e-01
12,13,-2.1820e-01
12,14,2.7934e-01
12,15,-2.9732e-01
12,16,6.9428e-01
12,17,-3.0692e-01
12,18,-3.8963e-03
12,19,3.8775e-01
12,20,-7.4003e-01
13,14,2.8922e-01
13,15,-3.4819e-02
13,16,1.6976e-01
13,17,4.3827e-01
13,18,-2.8104e-01
13,19,9.8040e-03
13,20,-3.5477e-01
14,15,1.7016e-01
14,16,-2.0135e-01
14,17,3.9771e-01
14,18,-6.7331e-02
14,19,6.2719e-02
14,20,-8.1732e-01
15,16,2.2827e-02
15,17,6.4278e-01
15,18,3.5699e-01
15,19,5.5731e-01
15,20,2.0719e-01
16,17,3.0670e-01
16,18,-4.9565e-01
16,19,-1.0671e+00
16,20,-3.8403e-02
17,18,-1.0782e+00
17,19,-5.9816e-01
17,20,-5.8749e-01
18,19,7.3230e-01
18,20,-7.2280e-02
19,20,5.4363e-02
