n1,n2,fij
1,2,-6.9315e-01
1,3,-1.0986e+00
1,4,-6.9315e-01
1,5,-9.8083e-01
1,6,-1.8232e-01
1,7,-8.4730e-01
1,8,-1.1632e+00
1,9,-1.3863e+00
1,10,-1.5404e+00
1,11,-1.0116e+00
1,12,-1.7918e+00
1,13,-2.1401e+00
1,14,-1.7346e+00
1,15,-1.4663e+00
1,16,-1.2528e+00
1,17,-9.8083e-01
1,18,-9.1629e-01
1,19,-1.5041e+00
1,20,-1.7346e+00
2,3,2.4849e+00
2,4,1.0986e+00
2,5,2.8768e-01
2,6,1.1778e-01
2,7,-6.0614e-01
2,8,-5.8779e-01
2,9,-5.1083e-01
2,10,2.5131e-01
2,11,2.2314e-01
2,12,5.5962e-01
2,13,-4.0547e-01
2,14,-8.4730e-01
2,15,3.3647e-01
2,16,-1.6094e+00
2,17,-2.5131e-01
2,18,-2.5131e-01
2,19,-1.0986e+00
2,20,0.0000e+00
3,4,4.0547e-01
3,5,-1.1778e-01
3,6,4.0547e-01
3,7,-3.1845e-01
3,8,-1.3218e+00
3,9,-3.5667e-01
3,10,-6.9315e-01
3,11,-1.3863e+00
3,12,-4.7000e-01
3,13,-4.0547e-01
3,14,-1.8232e-01
3,15,-4.0547e-01
3,16,-1.2528e+00
3,17,-3.5667e-01
3,18,-1.5415e-01
3,19,-1.7047e+00
3,20,-2.5131e-01
4,5,-4.5199e-01
4,6,-6.9315e-01
4,7,-1.4351e+00
4,8,-1.3863e+00
4,9,-1.3863e+00
4,10,-6.9315e-01
4,11,-9.8083e-01
4,12,-9.5551e-01
4,13,-3.3647e-01
4,14,-2.2314e-01
4,15,-8.4730e-01
4,16,-2.1972e+00
4,17,-9.8083e-01
4,18,-1.7047e+00
4,19,-6.9315e-01
4,20,-6.9315e-01
5,6,4.0547e-01
5,7,-6.9315e-01
5,8,-1.4663e+00
5,9,-6.9315e-01
5,10,-2.5131e-01
5,11,-8.4730e-01
5,12,-9.5551e-01
5,13,-2.0149e+00
5,14,1.2993e+00
5,15,-1.5041e+00
5,16,-1.0986e+00
5,17,-5.5962e-01
5,18,-1.9459e+00
5,19,0.0000e+00
5,20,-2.8768e-01
6,7,-1.7918e+00
6,8,-4.7000e-01
6,9,-1.0986e+00
6,10,-1.9459e+00
6,11,-3.5667e-01
6,12,-1.5404e+00
6,13,-5.8779e-01
6,14,0.0000e+00
6,15,-1.0116e+00
6,16,-9.1629e-01
6,17,-2.8768e-01
6,18,-6.9315e-01
6,19,-1.0986e+00
6,20,-4.0547e-01
7,8,5.3900e-01
7,9,8.1093e-01
7,10,3.3647e-01
7,11,6.9315e-01
7,12,3.3647e-01
7,13,5.8779e-01
7,14,1.2528e+00
7,15,9.1629e-01
7,16,-1.3863e+00
7,17,-1.3863e+00
7,18,-2.2314e-01
7,19,-2.8768e-01
7,20,1.0986e+00
8,9,-1.5415e-01
8,10,0.0000e+00
8,11,6.9315e-01
8,12,-5.1083e-01
8,13,1.8232e-01
8,14,-4.0547e-01
8,15,-2.2314e-01
8,16,6.9315e-01
8,17,1.2528e+00
8,18,-5.8779e-01
8,19,1.5415e-01
8,20,4.0547e-01
9,10,-9.8083e-01
9,11,1.2528e+00
9,12,4.7000e-01
9,13,-6.9315e-01
9,14,-5.1083e-01
9,15,2.2314e-01
9,16,5.5962e-01
9,17,-3.3647e-01
9,18,-4.0547e-01
9,19,1.5415e-01
9,20,-4.7000e-01
10,11,2.2314e-01
10,12,6.9315e-01
10,13,-3.5667e-01
10,14,4.0547e-01
10,15,-2.2314e-01
10,16,-1.2528e+00
10,17,-3.3647e-01
10,18,-1.4663e+00
10,19,-5.5962e-01
10,20,-5.5962e-01
11,12,2.8768e-01
11,13,1.0986e+00
11,14,-4.0547e-01
11,15,-4.0547e-01
11,16,5.1083e-01
11,17,0.0000e+00
11,18,-6.9315e-01
11,19,-1.8232e-01
11,20,0.0000e+00
12,13,5.8779e-01
12,14,1.3863e+00
12,15,1.8232e-01
12,16,5.1083e-01
12,17,-2.5131e-01
12,18,2.8768e-01
12,19,6.9315e-01
12,20,-2.8768e-01
13,14,2.8768e-01
13,15,7.8846e-01
13,16,2.8768e-01
13,17,3.5667e-01
13,18,4.0547e-01
13,19,-2.2314e-01
13,20,0.0000e+00
14,15,-1.8232e-01
14,16,-3.3647e-01
14,17,-1.5415e-01
14,18,-2.2314e-01
14,19,1.5415e-01
14,20,0.0000e+00
15,16,6.9315e-01
15,17,1.0986e+00
15,18,-1.8232e-01
15,19,-3.3647e-01
15,20,0.0000e+00
16,17,-1.1778e-01
16,18,-6.9315e-01
16,19,-2.3026e+00
16,20,-8.4730e-01
17,18,6.9315e-01
17,19,-1.5404e+00
17,20,-4.7000e-01
18,19,-8.4730e-01
18,20,2.2314e-01
19,20,-6.9315e-01
