n1,n2,fij
1,2,-5.7544e-01
1,3,-4.2178e-01
1,4,-3.1077e-01
1,5,-5.0127e-01
1,6,-8.2709e-02
1,7,-1.9383e-01
1,8,-2.0510e-01
1,9,-5.0144e-01
1,10,-6.8118e-01
1,11,-2.7233e-01
1,12,-6.5504e-01
1,13,-7.6691e-01
1,14,-4.9477e-01
1,15,-4.3592e-01
1,16,-6.4791e-01
1,17,-6.8797e-01
1,18,-7.7188e-01
1,19,-7.4736e-01
1,20,-5.8338e-01
2,3,9.7653e-01
2,4,5.9397e-02
2,5,1.6735e-01
2,6,-1.7470e-01
2,7,5.1996e-02
2,8,-1.2930e-01
2,9,4.3991e-02
2,10,-3.8605e-02
2,11,-1.6667e-02
2,12,2.3563e-01
2,13,-9.5687e-01
2,14,-5.1016e-01
2,15,4.4566e-01
2,16,3.3083e-02
2,17,-1.1783e-01
2,18,-2.5100e-01
2,19,-4.8931e-01
2,20,-4.0584e-01
3,4,2.3124e-01
3,5,-2.7919e-01
3,6,-1.4117e-01
3,7,2.7561e-01
3,8,-2.2499e-01
3,9,-3.1688e-01
3,10,-4.0533e-01
3,11,-1.0657e-01
3,12,-3.6073e-01
3,13,-6.5818e-01
3,14,-4.9768e-01
3,15,-1.6708e-01
3,16,-2.9562e-01
3,17,-4.8048e-01
3,18,-3.3728e-01
3,19,-2.6007e-01
3,20,2.6167e-01
4,5,-5.6475e-01
4,6,-3.7722e-01
4,7,-3.4676e-02
4,8,1.9017e-01
4,9,-6.7342e-01
4,10,-2.4969e-01
4,11,-2.0153e-01
4,12,-2.2806e-01
4,13,-2.6153e-01
4,14,-9.1196e-02
4,15,1.2508e-01
4,16,-2.1493e-01
4,17,-7.0734e-01
4,18,-7.8494e-01
4,19,-4.1934e-01
4,20,-3.9852e-01
5,6,4.3455e-01
5,7,-1.9086e-01
5,8,1.3181e-01
5,9,-2.3851e-01
5,10,-1.9922e-01
5,11,6.6593e-01
5,12,4.6394e-02
5,13,-1.2736e-01
5,14,-5.1683e-01
5,15,9.7921e-02
5,16,4.1923e-01
5,17,-2.6902e-02
5,18,-2.8357e-01
5,19,-5.9151e-01
5,20,-7.0410e-01
6,7,5.6019e-01
6,8,3.2287e-01
6,9,-3.5564e-01
6,10,-1.3070e-01
6,11,2.5109e-01
6,12,3.7541e-02
6,13,-1.4167e-01
6,14,-4.5657e-01
6,15,-2.0029e-01
6,16,-3.1754e-01
6,17,-1.4741e-01
6,18,-2.6889e-01
6,19,4.2993e-01
6,20,-1.9381e-01
7,8,1.2766e-01
7,9,3.7385e-02
7,10,2.1712e-02
7,11,-4.7858e-01
7,12,4.2083e-01
7,13,-5.1613e-01
7,14,-4.1753e-01
7,15,-1.2273e-01
7,16,-5.0124e-01
7,17,-1.5936e-01
7,18,-3.7489e-02
7,19,-6.4499e-01
7,20,-7.8419e-01
8,9,-5.5075e-01
8,10,-3.3383e-01
8,11,1.8213e-01
8,12,-2.4206e-01
8,13,-6.9153e-01
8,14,-4.0140e-01
8,15,1.7529e-02
8,16,-3.0064e-01
8,17,-3.1149e-01
8,18,-6.0574e-01
8,19,-3.5121e-01
8,20,3.7150e-01
9,10,2.2010e-01
9,11,1.4846e-01
9,12,9.0131e-02
9,13,-4.6450e-01
9,14,3.1800e-01
9,15,1.2561e-01
9,16,5.9658e-01
9,17,3.1987e-01
9,18,5.2822e-01
9,19,3.1194e-01
9,20,6.9614e-02
10,11,-3.3493e-01
10,12,-6.0244e-01
10,13,-2.8559e-01
10,14,-2.5483e-01
10,15,-3.9294e-02
10,16,1.4203e-01
10,17,-1.8885e-01
10,18,-4.2110e-01
10,19,-2.0624e-01
10,20,3.8877e-01
11,12,-6.6250e-02
11,13,-2.7770e-01
11,14,-2.4003e-01
11,15,-1.2868e-01
11,16,2.1092e-01
11,17,1.4335e-01
11,18,-5.4078e-03
11,19,-1.8616e-01
11,20,3.8321e-01
12,13,-3.0073e-01
12,14,-2.5206e-01
12,15,-1.0964e-01
12,16,3.3763e-01
12,17,-1.3985e-01
12,18,5.6646e-01
12,19,2.2961e-01
12,20,9.2423e-02
13,14,-4.6940e-01
13,15,3.9254e-01
13,16,4.9359e-01
13,17,3.8674e-01
13,18,6.3789e-02
13,19,-1.4205e-01
13,20,4.3603e-01
14,15,4.8872e-01
14,16,3.5562e-01
14,17,-6.3238e-02
14,18,-4.5980e-01
14,19,-4.2998e-01
14,20,-4.0920e-01
15,16,-2.0431e-01
15,17,-1.5321e-01
15,18,-5.9034e-01
15,19,-8.3851e-01
15,20,-5.6848e-01
16,17,-5.2913e-01
16,18,1.5234e-01
16,19,-1.9245e-02
16,20,2.0168e-01
17,18,-6.9108e-01
17,19,-4.1099e-01
17,20,5.1405e-02
18,19,-2.1542e-01
18,20,-4.6015e-01
19,20,2.0747e-01
