n1,n2,fij
1,2,6.0021e-02
1,3,-4.6897e-01
1,4,-3.8208e-01
1,5,-9.4091e-01
1,6,-3.7839e-01
1,7,-4.9552e-01
1,8,-6.1255e-01
1,9,-9.0189e-01
1,10,-7.5029e-01
1,11,-5.2340e-01
1,12,-7.9416e-01
1,13,-1.1453e+00
1,14,-4.7836e-01
1,15,-9.6763e-01
1,16,-7.4166e-01
1,17,-1.0049e+00
1,18,-1.5982e+00
1,19,-8.4181e-01
1,20,-7.3065e-01
2,3,8.6497e-01
2,4,2.5675e-01
2,5,1.8817e-01
2,6,-2.3711e-01
2,7,1.1435e-01
2,8,-2.7227e-01
2,9,-1.6901e-01
2,10,-6.4539e-02
2,11,-4.3788e-03
2,12,4.5188e-01
2,13,-1.2430e+00
2,14,-5.8695e-01
2,15,1.3441e-01
2,16,1.4033e-01
2,17,-9.5914e-02
2,18,-4.6167e-01
2,19,-5.1833e-01
2,20,-5.9096e-01
3,4,4.2037e-01
3,5,-4.5865e-01
3,6,-5.3605e-02
3,7,1.5161e-02
3,8,7.9563e-02
3,9,-3.1939e-01
3,10,-6.2027e-01
3,11,-5.1729e-01
3,12,-2.3851e-01
3,13,-6.3988e-01
3,14,-4.7887e-01
3,15,-2.6007e-01
3,16,-6.0126e-01
3,17,-5.1845e-01
3,18,-2.2991e-01
3,19,-8.0595e-02
3,20,-9.1401e-02
4,5,-3.1008e-01
4,6,-8.1669e-01
4,7,7.8993e-02
4,8,-3.0788e-02
4,9,-1.1063e+00
4,10,-4.3386e-01
4,11,-1.9988e-01
4,12,-3.0005e-01
4,13,1.2507e-02
4,14,-3.2755e-01
4,15,4.4321e-01
4,16,-6.4696e-01
4,17,-9.7989e-01
4,18,-9.5524e-01
4,19,-6.2205e-01
4,20,-8.5943e-01
5,6,1.5187e-01
5,7,-3.3355e-01
5,8,2.0258e-02
5,9,-1.5720e-01
5,10,-4.9376e-01
5,11,3.3384e-01
5,12,1.3326e-01
5,13,-2.5247e-01
5,14,-8.3938e-01
5,15,1.4533e-01
5,16,-7.7971e-02
5,17,-3.8162e-02
5,18,-1.5556e-01
5,19,-5.1578e-01
5,20,-5.4231e-01
6,7,6.4351e-01
6,8,2.5295e-01
6,9,-4.4149e-01
6,10,9.7131e-02
6,11,1.2823e-02
6,12,-2.0313e-01
6,13,-1.7305e-01
6,14,-4.3066e-01
6,15,-7.1250e-01
6,16,-8.1570e-02
6,17,-1.4467e-01
6,18,-4.3217e-01
6,19,1.5648e-01
6,20,-4.2201e-01
7,8,1.8780e-01
7,9,1.8805e-03
7,10,-9.8560e-02
7,11,-8.4807e-01
7,12,5.8144e-01
7,13,-1.3264e-01
7,14,-5.6130e-01
7,15,1.9565e-01
7,16,-5.6946e-01
7,17,-1.9252e-01
7,18,-5.9095e-02
7,19,-1.0076e+00
7,20,-1.2285e+00
8,9,-6.4871e-01
8,10,-3.6801e-01
8,11,1.6287e-01
8,12,-1.9853e-02
8,13,-6.4614e-01
8,14,-1.0374e+00
8,15,-1.0891e-01
8,16,-2.0082e-01
8,17,1.3287e-02
8,18,-8.2432e-01
8,19,-5.7079e-01
8,20,2.2563e-01
9,10,3.8529e-01
9,11,2.4374e-01
9,12,1.7522e-01
9,13,-6.6054e-01
9,14,3.7725e-01
9,15,3.8975e-01
9,16,7.6994e-01
9,17,1.4209e-02
9,18,6.9132e-01
9,19,2.3411e-01
9,20,-4.2042e-02
10,11,-2.7891e-01
10,12,-4.5984e-01
10,13,-1.9317e-01
10,14,-1.3156e-01
10,15,1.1927e-01
10,16,1.2311e-01
10,17,3.9780e-02
10,18,-5.4402e-01
10,19,-1.0083e-01
10,20,1.6397e-01
11,12,2.7012e-01
11,13,-1.0781e+00
11,14,-9.4752e-02
11,15,-4.0172e-02
11,16,1.9521e-01
11,17,9.6099e-02
11,18,5.8049e-01
11,19,9.8782e-02
11,20,3.5288e-01
12,13,-4.0110e-01
12,14,-1.8786e-01
12,15,2.3880e-01
12,16,1.7432e-01
12,17,-4.4431e-01
12,18,2.1761e-01
12,19,-3.0005e-03
12,20,6.7171e-02
13,14,-3.7696e-01
13,15,7.7530e-01
13,16,9.0174e-01
13,17,2.6891e-01
13,18,1.0886e-01
13,19,-2.9887e-01
13,20,2.5924e-01
14,15,7.2185e-01
14,16,2.0261e-01
14,17,6.9735e-02
14,18,-1.9928e-01
14,19,-1.4970e-01
14,20,-5.9051e-01
15,16,-2.7569e-01
15,17,-6.1728e-01
15,18,-7.4276e-01
15,19,-7.3163e-01
15,20,-2.9332e-01
16,17,-4.9263e-01
16,18,1.3314e-01
16,19,-2.7781e-01
16,20,-5.9975e-02
17,18,-6.2613e-01
17,19,-6.2680e-02
17,20,2.8019e-01
18,19,-1.0483e-01
18,20,-7.3169e-01
19,20,6.2463e-01
