n1,n2,fij
1,2,-3.3364e-01
1,3,-1.3227e+00
1,4,-7.0129e-01
1,5,4.1601e-01
1,6,-9.6826e-01
1,7,-1.0658e+00
1,8,-1.6965e-01
1,9,-1.8844e+00
1,10,-9.2149e-01
1,11,-1.2790e+00
1,12,-1.2413e+00
1,13,-1.5628e+00
1,14,-1.0287e+00
1,15,-6.1820e-01
1,16,-8.8268e-01
1,17,-1.1758e+00
1,18,-1.5800e+00
2,3,6.9191e-01
2,4,1.1212e-01
2,5,8.1694e-01
2,6,9.6612e-01
2,7,1.2753e-01
2,8,-5.7745e-01
2,9,1.2550e+00
2,10,2.9064e-01
2,11,6.4533e-02
2,12,7.7369e-01
2,13,-1.2986e-01
2,14,-5.9217e-02
2,15,5.9897e-01
2,16,-1.6995e-01
2,17,1.4344e+00
2,18,-7.7777e-01
3,4,7.0646e-01
3,5,3.0623e-01
3,6,4.9879e-01
3,7,-1.3087e+00
3,8,1.0275e-01
3,9,9.3532e-02
3,10,-3.5244e-01
3,11,2.7682e-01
3,12,-2.2033e-01
3,13,-8.0280e-02
3,14,3.8774e-02
3,15,-5.1000e-02
3,16,-3.5970e-01
3,17,2.1875e-01
3,18,1.7390e-01
4,5,-5.3896e-01
4,6,3.1303e-02
4,7,1.6401e-01
4,8,-4.0181e-01
4,9,4.1990e-01
4,10,-6.6098e-01
4,11,-3.4358e-01
4,12,-4.2347e-01
4,13,-1.0947e-01
4,14,-2.0243e+00
4,15,-7.0841e-01
4,16,1.3704e-02
4,17,4.5513e-01
4,18,7.0305e-03
5,6,-1.3246e-01
5,7,-9.5051e-01
5,8,2.3364e-01
5,9,-7.4847e-02
5,10,-1.5382e+00
5,11,-7.1849e-03
5,12,-7.8292e-01
5,13,-1.6771e-01
5,14,-1.0394e+00
5,15,-4.1633e-01
5,16,-4.7301e-02
5,17,-5.5646e-02
5,18,-1.1073e+00
6,7,-7.7688e-01
6,8,-2.4241e-01
6,9,3.3874e-01
6,10,-9.7491e-01
6,11,-1.4761e-01
6,12,-1.1240e+00
6,13,-4.8136e-01
6,14,-9.6826e-01
6,15,-1.4831e+00
6,16,2.8464e-01
6,17,2.0367e-02
6,18,-6.5404e-01
7,8,4.7922e-01
7,9,1.4405e+00
7,10,-5.3556e-01
7,11,1.0909e-01
7,12,7.6745e-01
7,13,2.9155e-01
7,14,-8.9963e-01
7,15,-4.0721e-01
7,16,1.6875e-01
7,17,1.6716e+00
7,18,5.4852e-01
8,9,1.1024e+00
8,10,5.7939e-01
8,11,-1.6432e-01
8,12,-1.1657e+00
8,13,-5.1298e-01
8,14,-6.0213e-01
8,15,-1.3231e-02
8,16,7.2103e-01
8,17,1.2544e+00
8,18,1.8460e-01
9,10,6.1001e-01
9,11,-3.4313e-01
9,12,1.0264e+00
9,13,-2.0831e-01
9,14,8.6708e-01
9,15,-1.1855e-01
9,16,4.8550e-03
9,17,-1.8123e-01
9,18,2.7392e-01
10,11,-2.3394e-01
10,12,-6.6513e-01
10,13,7.7085e-01
10,14,7.0563e-01
10,15,-1.0451e-01
10,16,3.2423e-01
10,17,4.4035e-01
10,18,1.4471e-01
11,12,-4.6925e-01
11,13,-9.1024e-01
11,14,-6.7191e-02
11,15,-3.5871e-01
11,16,4.9589e-01
11,17,-3.2685e-01
11,18,-3.6743e-01
12,13,-6.5223e-01
12,14,-8.0157e-01
12,15,9.8998e-01
12,16,-3.6482e-01
12,17,-5.2697e-01
12,18,1.2877e+00
13,14,9.8002e-01
13,15,-5.3737e-01
13,16,-3.5359e-01
13,17,4.9969e-01
13,18,-4.6539e-01
14,15,3.5063e-01
14,16,2.4824e-01
14,17,-2.5092e-01
14,18,-2.7594e-01
15,16,-6.3360e-01
15,17,4.5288e-01
15,18,-7.0136e-02
16,17,4.3959e-01
16,18,6.6799e-02
17,18,5.4092e-01
