n1,n2,fij
1,2,-4.6339e-01
1,3,-3.6652e-01
1,4,-8.4888e-02
1,5,3.1364e-01
1,6,-6.3527e-01
1,7,-1.2622e+00
1,8,3.8505e-01
1,9,-1.0482e+00
1,10,-1.1620e+00
1,11,-1.3469e+00
1,12,-9.4836e-01
1,13,-1.1985e+00
1,14,-5.7209e-01
1,15,-1.0070e+00
1,16,-1.3852e+00
1,17,-1.1305e+00
1,18,-1.4483e+00
2,3,8.5701e-02
2,4,3.4162e-01
2,5,-6.4175e-03
2,6,8.9684e-02
2,7,7.6316e-01
2,8,-2.2137e-01
2,9,5.9205e-01
2,10,-6.3282e-01
2,11,2.4951e-01
2,12,1.0239e-01
2,13,-1.3459e-01
2,14,-2.1734e-01
2,15,-1.3767e-01
2,16,3.5397e-01
2,17,-9.7448e-02
2,18,-1.5686e-01
3,4,4.3660e-01
3,5,1.8129e-01
3,6,9.4630e-01
3,7,-6.8002e-01
3,8,4.6910e-02
3,9,8.8617e-02
3,10,-7.0933e-01
3,11,-5.7938e-01
3,12,1.7183e-01
3,13,-7.7387e-01
3,14,-3.5406e-01
3,15,-7.9728e-01
3,16,3.7796e-01
3,17,4.0872e-01
3,18,7.6237e-02
4,5,-6.0065e-01
4,6,-8.7054e-01
4,7,2.0833e-01
4,8,-4.4742e-01
4,9,-1.3587e+00
4,10,-1.0442e+00
4,11,-1.0021e+00
4,12,-1.0183e+00
4,13,-1.6026e+00
4,14,-1.6089e+00
4,15,-4.8528e-01
4,16,-6.5145e-01
4,17,-1.6488e-01
4,18,-9.2962e-01
5,6,1.2338e-01
5,7,6.4248e-02
5,8,2.5349e-01
5,9,1.4988e-01
5,10,-6.5691e-01
5,11,4.1578e-01
5,12,-1.3855e+00
5,13,9.3394e-02
5,14,-9.9641e-01
5,15,-6.4900e-01
5,16,1.7144e-02
5,17,-2.2588e-02
5,18,-9.6254e-01
6,7,-9.1000e-01
6,8,1.0904e-02
6,9,-1.0363e-01
6,10,-8.6910e-01
6,11,-4.2366e-01
6,12,-4.4588e-01
6,13,-7.7687e-01
6,14,-7.4033e-01
6,15,-1.4540e+00
6,16,-6.4450e-01
6,17,-1.4570e+00
6,18,-2.7823e-01
7,8,1.7189e-01
7,9,5.1407e-01
7,10,2.6640e-01
7,11,1.7592e-01
7,12,-4.6763e-01
7,13,2.8042e-02
7,14,9.7775e-02
7,15,-2.5117e-01
7,16,4.3846e-01
7,17,1.1596e+00
7,18,6.2194e-01
8,9,8.1853e-01
8,10,-9.7003e-02
8,11,-3.1962e-01
8,12,-1.2861e+00
8,13,-4.2612e-01
8,14,-1.4355e-01
8,15,-2.1454e-01
8,16,4.6357e-01
8,17,5.2858e-01
8,18,-1.8581e-01
9,10,3.2756e-01
9,11,-2.3570e-02
9,12,-1.3736e-02
9,13,-6.6953e-01
9,14,-1.2721e-01
9,15,-2.4385e-01
9,16,-7.8873e-01
9,17,5.5292e-01
9,18,-1.1135e-01
10,11,8.2917e-02
10,12,8.1635e-02
10,13,-4.4115e-01
10,14,8.9116e-02
10,15,-6.5165e-01
10,16,4.2956e-01
10,17,1.9632e-01
10,18,1.6902e-01
11,12,-4.4507e-01
11,13,-4.8437e-01
11,14,-8.5004e-01
11,15,4.3160e-01
11,16,1.7042e+00
11,17,-1.5292e-01
11,18,8.2335e-02
12,13,5.1128e-01
12,14,-6.0083e-01
12,15,8.8880e-01
12,16,1.1586e-01
12,17,-6.3628e-01
12,18,1.0084e+00
13,14,6.3527e-01
13,15,7.3539e-01
13,16,-3.1160e-01
13,17,6.8994e-01
13,18,-5.3162e-01
14,15,2.2575e-01
14,16,-4.8994e-01
14,17,-1.1656e-01
14,18,-3.6400e-01
15,16,1.5946e-01
15,17,9.9896e-01
15,18,-8.3539e-01
16,17,4.8079e-01
16,18,-2.7491e-01
17,18,9.1206e-01
