n1,n2,fij
1,2,-6.4846e-01
1,3,-1.0307e+00
1,4,-1.3408e-01
1,5,5.5646e-02
1,6,-7.7436e-01
1,7,-6.6532e-01
1,8,-2.3814e-01
1,9,-1.4464e+00
1,10,-6.6797e-01
1,11,-9.0171e-01
1,12,-1.4776e+00
1,13,-1.2562e+00
1,14,-1.3291e+00
1,15,-9.7015e-01
1,16,-1.2300e+00
1,17,-1.4366e+00
1,18,-1.3682e+00
2,3,5.2076e-01
2,4,7.9753e-02
2,5,5.2890e-01
2,6,9.9776e-01
2,7,5.9953e-01
2,8,-3.0580e-01
2,9,7.8425e-01
2,10,-2.0225e-01
2,11,2.1217e-01
2,12,3.2196e-01
2,13,-2.7052e-01
2,14,-1.4665e-01
2,15,1.1221e-01
2,16,-1.4755e-01
2,17,1.0025e+00
2,18,-3.3398e-01
3,4,1.0492e-01
3,5,3.7963e-01
3,6,5.3674e-01
3,7,-7.7244e-01
3,8,-3.6744e-01
3,9,1.6835e-01
3,10,-3.7431e-01
3,11,-3.9190e-01
3,12,-4.2596e-01
3,13,1.6127e-01
3,14,-1.7457e-01
3,15,-1.7140e-01
3,16,7.4677e-02
3,17,1.7663e-01
3,18,-9.0607e-02
4,5,-4.0181e-01
4,6,1.0018e-01
4,7,-1.7348e-01
4,8,-1.1326e-01
4,9,-1.7947e-01
4,10,-5.4700e-01
4,11,-3.9150e-01
4,12,-6.6782e-01
4,13,-6.1849e-01
4,14,-1.4117e+00
4,15,-5.5997e-01
4,16,-5.5535e-01
4,17,5.5082e-02
4,18,-8.2865e-01
5,6,-2.5006e-01
5,7,-3.5085e-01
5,8,-4.2760e-01
5,9,-2.9387e-01
5,10,-6.0758e-01
5,11,-4.9512e-01
5,12,-5.2672e-01
5,13,-6.1658e-01
5,14,-1.0465e+00
5,15,-7.5048e-01
5,16,-4.6799e-01
5,17,-1.8744e-01
5,18,-7.4162e-01
6,7,-7.9842e-01
6,8,-9.7485e-01
6,9,-4.6346e-01
6,10,-1.3844e+00
6,11,-2.7313e-01
6,12,-7.1298e-01
6,13,-5.3397e-01
6,14,-6.1296e-01
6,15,-7.7872e-01
6,16,-1.2922e-01
6,17,-5.6620e-01
6,18,-4.8996e-01
7,8,6.6597e-01
7,9,4.0131e-01
7,10,1.0295e-01
7,11,-1.8785e-01
7,12,2.1930e-01
7,13,1.7259e-01
7,14,-3.2299e-01
7,15,-3.8655e-01
7,16,3.7487e-01
7,17,7.7698e-01
7,18,5.5570e-01
8,9,2.7798e-01
8,10,6.7460e-02
8,11,1.1158e-01
8,12,-9.7852e-01
8,13,-1.4401e-01
8,14,-3.8772e-01
8,15,1.7924e-01
8,16,1.3823e-01
8,17,4.6851e-01
8,18,-2.4769e-02
9,10,4.4226e-01
9,11,-3.8933e-01
9,12,6.6898e-01
9,13,-5.8238e-03
9,14,8.3484e-02
9,15,-2.9482e-01
9,16,4.1061e-02
9,17,-1.1789e-01
9,18,-2.3453e-01
10,11,-1.5753e-01
10,12,2.9892e-01
10,13,-2.1939e-01
10,14,-2.1244e-02
10,15,-3.8755e-01
10,16,3.8796e-02
10,17,3.8098e-01
10,18,-1.1253e-02
11,12,-5.1669e-01
11,13,-3.7564e-01
11,14,7.7449e-02
11,15,-1.5750e-01
11,16,3.9832e-01
11,17,-1.9064e-01
11,18,2.9068e-01
12,13,9.9395e-02
12,14,-5.1298e-01
12,15,7.0018e-01
12,16,-2.4278e-01
12,17,-4.1350e-01
12,18,8.4822e-01
13,14,7.4529e-01
13,15,-6.5187e-01
13,16,-2.9532e-01
13,17,4.7483e-01
13,18,-4.9876e-01
14,15,-1.0111e-01
14,16,-2.9398e-01
14,17,8.5111e-02
14,18,-6.7107e-02
15,16,1.8324e-01
15,17,5.0578e-01
15,18,3.4531e-01
16,17,2.0619e-01
16,18,6.0416e-02
17,18,5.0024e-01
