n1,n2,fij
1,2,2.1176e+00
1,3,3.7155e-01
1,4,-1.9427e-01
1,5,-2.8595e-01
1,6,7.5282e-01
1,7,9.1219e-01
1,8,3.1008e-01
1,9,5.0949e-01
1,10,-4.0462e-01
1,11,2.0959e-01
1,12,8.4332e-01
1,13,6.6913e-01
1,14,-9.9038e-01
1,15,-2.9243e-01
1,16,-3.2782e-01
1,17,-8.3587e-01
1,18,-1.4262e+00
1,19,-5.5023e-01
1,20,-7.3405e-01
2,3,-6.0970e-01
2,4,-1.4761e+00
2,5,-2.1121e-01
2,6,-2.7620e-01
2,7,-3.5502e-01
2,8,-2.2876e-01
2,9,1.0353e-01
2,10,-5.1182e-01
2,11,-1.6652e+00
2,12,-6.9727e-01
2,13,1.0168e-01
2,14,-1.7210e+00
2,15,-4.4787e-01
2,16,-1.5027e+00
2,17,-1.9719e+00
2,18,-7.4452e-01
2,19,-1.0624e+00
2,20,-6.9771e-01
3,4,3.0608e-02
3,5,-1.0344e+00
3,6,-5.9010e-02
3,7,3.0584e-01
3,8,-9.7368e-01
3,9,2.3069e-01
3,10,3.6245e-01
3,11,2.3307e-02
3,12,-9.5009e-01
3,13,5.7511e-02
3,14,1.9987e-02
3,15,-1.0265e+00
3,16,-6.1108e-01
3,17,-1.0529e+00
3,18,-7.0237e-01
3,19,-4.0208e-01
3,20,-6.2366e-01
4,5,-1.6858e-01
4,6,4.9656e-01
4,7,3.3854e-01
4,8,1.1421e+00
4,9,1.7047e-01
4,10,-5.9492e-01
4,11,-1.0480e+00
4,12,-2.6594e-01
4,13,1.6797e-02
4,14,-5.5547e-01
4,15,-7.8112e-01
4,16,-4.8783e-01
4,17,-4.5782e-01
4,18,-4.4493e-01
4,19,-4.8013e-01
4,20,-8.5210e-01
5,6,6.2985e-01
5,7,6.8075e-02
5,8,-1.0200e+00
5,9,2.4648e-02
5,10,4.4356e-01
5,11,5.0737e-01
5,12,-5.5262e-01
5,13,-1.2223e-01
5,14,-3.3392e-01
5,15,-7.2175e-01
5,16,-3.0274e-01
5,17,-4.1958e-01
5,18,-8.2459e-01
5,19,-6.2084e-01
5,20,-5.2839e-01
6,7,-2.5754e-02
6,8,1.0439e-01
6,9,-1.9947e-01
6,10,2.4207e-01
6,11,-9.4681e-01
6,12,-4.5527e-01
6,13,4.9452e-01
6,14,-3.1483e-01
6,15,6.5029e-01
6,16,4.4411e-01
6,17,-1.0755e-01
6,18,-9.0596e-01
6,19,-9.5623e-01
6,20,-6.2070e-01
7,8,-2.5623e-01
7,9,-5.4182e-01
7,10,-4.1792e-01
7,11,-1.4670e-01
7,12,2.3490e-01
7,13,-5.3524e-01
7,14,-1.2929e+00
7,15,-1.3570e+00
7,16,-1.2877e+00
7,17,-8.4442e-02
7,18,-3.3738e-01
7,19,-1.7701e+00
7,20,-3.4646e-01
8,9,4.5597e-01
8,10,-3.7509e-01
8,11,-6.5393e-01
8,12,-1.5789e-01
8,13,-3.2634e-01
8,14,-1.6057e-01
8,15,2.3344e-01
8,16,-1.6251e-01
8,17,-5.9044e-01
8,18,-3.1268e-01
8,19,-1.0839e+00
8,20,3.4701e-01
9,10,3.6975e-01
9,11,-6.9850e-03
9,12,5.1670e-01
9,13,1.1554e-01
9,14,-1.9566e-01
9,15,-1.2234e+00
9,16,-2.0280e-01
9,17,-1.6504e-01
9,18,2.9288e-01
9,19,-3.9645e-01
9,20,2.5833e-01
10,11,5.3723e-01
10,12,9.2308e-01
10,13,3.8802e-01
10,14,-5.4079e-01
10,15,-6.9520e-01
10,16,3.0166e-01
10,17,3.2420e-02
10,18,-1.1859e-01
10,19,-6.3579e-03
10,20,-2.4330e-02
11,12,2.1328e-01
11,13,-1.1747e+00
11,14,-3.4303e-01
11,15,-8.8365e-02
11,16,-5.5217e-02
11,17,1.2370e-01
11,18,-2.3753e-01
11,19,-5.2691e-01
11,20,6.2174e-02
12,13,-6.7465e-01
12,14,-1.1006e-01
12,15,-5.5610e-01
12,16,-6.0625e-01
12,17,-1.1523e+00
12,18,3.1773e-01
12,19,-7.1416e-02
12,20,-5.1655e-01
13,14,2.1884e-01
13,15,-5.3848e-02
13,16,-4.9777e-01
13,17,-1.5689e-01
13,18,-2.5481e-01
13,19,-5.0681e-01
13,20,6.6647e-02
14,15,-2.0708e-01
14,16,-8.7599e-01
14,17,-4.4207e-01
14,18,-3.1022e-01
14,19,-4.5135e-01
14,20,5.6005e-01
15,16,-1.1274e+00
15,17,3.9173e-01
15,18,-1.6693e-01
15,19,2.4562e-01
15,20,-5.8431e-01
16,17,5.1324e-01
16,18,1.3791e+00
16,19,-6.3733e-01
16,20,6.6545e-01
17,18,-4.2954e-01
17,19,-1.0844e+00
17,20,4.2796e-01
18,19,-3.3996e-01
18,20,-2.6433e-02
19,20,-9.9164e-01
