n1,n2,fij
1,2,2.3026e+00
1,3,6.4185e-01
1,4,-8.7547e-01
1,5,-4.8551e-01
1,6,8.1093e-01
1,7,1.3863e+00
1,8,9.4446e-01
1,9,-4.9248e-01
1,10,-1.2993e+00
1,11,-7.4108e-02
1,12,5.1083e-01
1,13,4.0547e-01
1,14,-8.3291e-01
1,15,-6.9315e-01
1,16,-6.4663e-01
1,17,-1.0116e+00
1,18,-7.3089e-01
1,19,-9.1629e-01
1,20,-1.3499e+00
2,3,-3.5667e-01
2,4,-6.9315e-01
2,5,-8.7547e-01
2,6,0.0000e+00
2,7,-2.4116e-01
2,8,-1.8232e-01
2,9,-9.9853e-01
2,10,-7.9851e-01
2,11,-1.6582e+00
2,12,1.3353e-01
2,13,0.0000e+00
2,14,-1.7918e+00
2,15,-9.8083e-01
2,16,-1.0561e+00
2,17,-8.2668e-01
2,18,-4.9644e-01
2,19,-1.4469e+00
2,20,-8.6500e-01
3,4,1.6034e-01
3,5,0.0000e+00
3,6,-4.9644e-01
3,7,-2.4116e-01
3,8,-5.4654e-01
3,9,-1.8871e+00
3,10,-5.7536e-01
3,11,-4.5199e-01
3,12,-7.4721e-01
3,13,-3.7949e-01
3,14,-1.0536e-01
3,15,-4.3078e-01
3,16,-3.0228e-01
3,17,-1.3437e+00
3,18,-3.4831e-01
3,19,-1.0536e-01
3,20,-8.2098e-01
4,5,0.0000e+00
4,6,0.0000e+00
4,7,-8.1093e-01
4,8,7.7770e-01
4,9,1.4660e-01
4,10,-1.6094e+00
4,11,-1.6314e+00
4,12,-3.7949e-01
4,13,-9.9853e-01
4,14,-3.5091e-02
4,15,-8.0235e-01
4,16,-7.4194e-01
4,17,-8.9794e-01
4,18,-5.2609e-01
4,19,-2.2314e-01
4,20,-8.2098e-01
5,6,3.7469e-01
5,7,8.0043e-02
5,8,-5.5962e-01
5,9,-1.0116e+00
5,10,-1.5581e+00
5,11,2.6826e-01
5,12,-7.4108e-02
5,13,-6.8993e-02
5,14,-4.4452e-02
5,15,0.0000e+00
5,16,-1.9106e-01
5,17,0.0000e+00
5,18,-6.1310e-01
5,19,-6.9315e-01
5,20,-4.7957e-01
6,7,-1.4469e+00
6,8,-3.1015e-01
6,9,-2.8768e-01
6,10,-6.2861e-01
6,11,-8.7547e-01
6,12,-5.1083e-01
6,13,3.7469e-01
6,14,-3.7949e-01
6,15,-3.1015e-01
6,16,0.0000e+00
6,17,-4.7000e-01
6,18,-1.5686e+00
6,19,-1.0986e+00
6,20,-5.2325e-01
7,8,-2.8768e-01
7,9,-3.3647e-01
7,10,-1.2040e+00
7,11,1.8232e-01
7,12,3.1015e-01
7,13,-9.5310e-02
7,14,-5.1083e-01
7,15,-1.0116e+00
7,16,-3.5667e-01
7,17,-4.0547e-01
7,18,-6.1904e-01
7,19,-6.9315e-01
7,20,8.7011e-02
8,9,-5.5962e-01
8,10,-2.0149e+00
8,11,3.4831e-01
8,12,-4.4183e-01
8,13,-4.3078e-01
8,14,-4.7957e-01
8,15,-3.5667e-01
8,16,-4.8551e-01
8,17,-1.1451e+00
8,18,-9.3827e-01
8,19,-6.4663e-01
8,20,0.0000e+00
9,10,-5.3900e-01
9,11,1.3353e-01
9,12,8.1093e-01
9,13,3.7469e-01
9,14,1.2516e-01
9,15,-8.1093e-01
9,16,2.2314e-01
9,17,-1.1632e+00
9,18,-1.9416e-01
9,19,-1.0033e+00
9,20,-6.0625e-02
10,11,4.0547e-01
10,12,6.9315e-01
10,13,6.9315e-01
10,14,1.8232e-01
10,15,1.5415e-01
10,16,3.4831e-01
10,17,-7.5377e-01
10,18,5.1083e-01
10,19,-5.1083e-01
10,20,-7.6214e-01
11,12,-4.7000e-01
11,13,-8.1093e-01
11,14,4.2744e-01
11,15,-4.0547e-01
11,16,-2.2314e-01
11,17,-1.1778e-01
11,18,-9.5310e-02
11,19,-7.8016e-01
11,20,-4.8551e-01
12,13,-5.5962e-01
12,14,-6.8993e-02
12,15,-1.1896e+00
12,16,-5.8779e-01
12,17,-6.9315e-01
12,18,0.0000e+00
12,19,-2.0764e-01
12,20,-3.4831e-01
13,14,-4.2744e-01
13,15,7.4108e-02
13,16,-5.7158e-02
13,17,-7.8016e-01
13,18,0.0000e+00
13,19,2.8768e-01
13,20,3.1015e-01
14,15,-1.0609e+00
14,16,-8.3291e-01
14,17,-6.0625e-02
14,18,9.5310e-02
14,19,-6.9315e-01
14,20,6.8993e-02
15,16,1.5415e-01
15,17,7.9851e-01
15,18,-2.0764e-01
15,19,2.8768e-01
15,20,2.8768e-01
16,17,6.3599e-01
16,18,5.5962e-01
16,19,-1.3545e+00
16,20,-1.1778e-01
17,18,-4.7957e-01
17,19,-3.5667e-01
17,20,-6.0625e-02
18,19,6.4539e-02
18,20,-2.2314e-01
19,20,-1.8232e-01
