n1,n2,fij
1,2,5.9577e-01
1,3,2.3773e-01
1,4,-1.8128e-01
1,5,-4.8150e-01
1,6,7.1889e-02
1,7,-2.1044e-01
1,8,-9.6789e-02
1,9,-3.4953e-01
1,10,-5.2241e-01
1,11,-3.6832e-01
1,12,-2.9910e-01
1,13,7.1921e-02
1,14,-9.1827e-01
1,15,-5.7350e-01
1,16,-4.6199e-01
1,17,-5.9828e-01
1,18,-1.4576e+00
1,19,-8.3766e-01
1,20,-3.3047e-01
2,3,-1.2512e-01
2,4,-2.5894e-01
2,5,-2.6373e-01
2,6,1.7164e-02
2,7,-2.5470e-02
2,8,-2.3121e-01
2,9,1.2144e-01
2,10,-3.8790e-01
2,11,-9.9345e-01
2,12,-7.7561e-01
2,13,-2.5242e-01
2,14,-7.6986e-01
2,15,-1.7531e-01
2,16,-5.2535e-01
2,17,-3.3842e-01
2,18,-7.5193e-01
2,19,-2.5058e-01
2,20,-4.5625e-01
3,4,6.9261e-02
3,5,-4.3126e-01
3,6,-8.8191e-02
3,7,-2.7464e-01
3,8,-4.5499e-01
3,9,-5.3824e-01
3,10,-2.0316e-01
3,11,-5.6670e-01
3,12,-2.6844e-01
3,13,-1.8661e-01
3,14,-4.6259e-01
3,15,-8.8927e-02
3,16,-4.9687e-01
3,17,-8.6117e-01
3,18,-2.6400e-01
3,19,-4.5263e-01
3,20,-3.8999e-01
4,5,-4.9454e-01
4,6,3.9290e-01
4,7,-4.2708e-02
4,8,6.4304e-01
4,9,-2.6451e-01
4,10,-2.4528e-01
4,11,-1.1595e+00
4,12,-3.6785e-01
4,13,-2.9244e-01
4,14,-2.6869e-01
4,15,-1.3186e-01
4,16,-4.2951e-01
4,17,-2.4424e-01
4,18,-6.3746e-01
4,19,-5.4436e-01
4,20,-1.6975e-01
5,6,-3.2649e-02
5,7,-2.7368e-01
5,8,-4.4302e-01
5,9,-2.9021e-01
5,10,-1.5477e-01
5,11,-2.9724e-01
5,12,-2.5297e-01
5,13,-1.9330e-01
5,14,-6.1120e-02
5,15,-1.5884e-01
5,16,-1.9172e-01
5,17,-1.1800e-01
5,18,-5.8160e-01
5,19,-5.0835e-01
5,20,-4.2858e-01
6,7,-1.1248e-01
6,8,9.1130e-03
6,9,-3.9063e-01
6,10,-3.6728e-01
6,11,-6.2366e-01
6,12,-5.3380e-01
6,13,1.1670e-01
6,14,-4.5236e-01
6,15,-1.7940e-01
6,16,4.1902e-02
6,17,-1.6165e-01
6,18,-9.8026e-01
6,19,-5.1001e-01
6,20,-2.9657e-01
7,8,-1.0430e-01
7,9,-6.1487e-01
7,10,-8.7430e-05
7,11,1.2861e-01
7,12,8.7705e-02
7,13,-8.1757e-01
7,14,-5.8005e-01
7,15,-5.6349e-01
7,16,-1.0544e+00
7,17,-2.1544e-01
7,18,-4.0591e-01
7,19,-3.4793e-01
7,20,-7.0050e-04
8,9,-1.2156e-01
8,10,-1.6878e-01
8,11,-4.2209e-01
8,12,-6.9127e-01
8,13,-3.3846e-01
8,14,-3.2246e-01
8,15,1.7096e-01
8,16,-9.2044e-01
8,17,-9.3514e-01
8,18,-4.8989e-01
8,19,-8.3428e-01
8,20,1.7702e-01
9,10,-9.7295e-02
9,11,-4.0547e-01
9,12,2.9306e-01
9,13,1.2248e-01
9,14,5.3393e-02
9,15,-5.5702e-01
9,16,7.6636e-03
9,17,-5.0884e-01
9,18,-3.8876e-01
9,19,-2.4005e-01
9,20,-1.3267e-01
10,11,4.5449e-03
10,12,3.0706e-01
10,13,2.2651e-01
10,14,-3.6960e-01
10,15,-2.3847e-01
10,16,1.0971e-01
10,17,-9.3171e-01
10,18,-1.0196e+00
10,19,-9.0193e-02
10,20,-2.4400e-01
11,12,-5.5373e-02
11,13,-1.1062e-01
11,14,-9.1265e-02
11,15,4.0120e-01
11,16,-9.0888e-03
11,17,2.0361e-01
11,18,-1.3116e-01
11,19,-9.5477e-02
11,20,1.3558e-01
12,13,-3.7017e-01
12,14,3.5559e-01
12,15,-3.0656e-01
12,16,-3.0007e-02
12,17,-4.1086e-01
12,18,3.3964e-01
12,19,4.8580e-01
12,20,3.6160e-01
13,14,-4.1683e-02
13,15,1.1517e-01
13,16,1.4602e-01
13,17,1.5576e-01
13,18,3.7828e-02
13,19,-9.2970e-02
13,20,3.0330e-02
14,15,3.2730e-01
14,16,-1.9242e-02
14,17,8.9387e-02
14,18,1.7768e-01
14,19,-6.6770e-01
14,20,2.0197e-01
15,16,-4.1200e-01
15,17,4.1078e-01
15,18,-2.6458e-01
15,19,-2.0385e-01
15,20,-2.0724e-01
16,17,6.6234e-01
16,18,1.9538e-01
16,19,-3.1049e-01
16,20,5.4191e-01
17,18,-3.6767e-02
17,19,-2.8620e-01
17,20,5.3062e-01
18,19,2.6383e-01
18,20,-7.4653e-02
19,20,3.7325e-01
