n1,n2,fij
1,2,1.1442e+00
1,3,2.0148e-01
1,4,-3.0248e-01
1,5,-2.8295e-01
1,6,3.7120e-01
1,7,2.1781e-01
1,8,1.2522e-01
1,9,4.7930e-01
1,10,-7.2768e-01
1,11,-1.5705e-01
1,12,1.0829e-01
1,13,1.2380e-01
1,14,-9.5801e-01
1,15,-5.2053e-01
1,16,-3.2200e-01
1,17,-1.3465e+00
1,18,-1.2746e+00
1,19,-6.6318e-01
1,20,-1.1269e+00
2,3,-1.0432e+00
2,4,-1.2263e+00
2,5,-1.0662e+00
2,6,-9.8341e-02
2,7,-6.4132e-01
2,8,-6.8586e-01
2,9,-3.7602e-01
2,10,-8.4984e-01
2,11,-1.5152e+00
2,12,-1.2301e+00
2,13,-8.8225e-01
2,14,-1.6859e+00
2,15,-7.9806e-01
2,16,-1.2855e+00
2,17,-1.4803e+00
2,18,-1.3916e+00
2,19,-1.4356e+00
2,20,-1.3004e+00
3,4,-9.3581e-02
3,5,-6.5320e-01
3,6,1.1774e-02
3,7,-4.1928e-01
3,8,-1.1096e+00
3,9,-3.8612e-01
3,10,-3.8526e-02
3,11,-3.3441e-01
3,12,-5.1647e-01
3,13,-3.9809e-01
3,14,-3.6212e-01
3,15,-5.4268e-01
3,16,-5.0182e-01
3,17,-1.4838e+00
3,18,-7.3746e-01
3,19,-7.0208e-01
3,20,-8.9472e-01
4,5,-3.3144e-02
4,6,2.8888e-01
4,7,1.9664e-01
4,8,5.4668e-01
4,9,1.0253e-01
4,10,-6.6643e-01
4,11,-1.2771e+00
4,12,-8.8825e-01
4,13,-8.0256e-01
4,14,-2.8890e-01
4,15,-6.6554e-01
4,16,-9.1527e-01
4,17,-7.6743e-01
4,18,-3.4118e-01
4,19,-7.3479e-01
4,20,-8.3673e-01
5,6,2.9611e-01
5,7,-2.1739e-01
5,8,-4.0218e-01
5,9,2.0128e-01
5,10,-2.4951e-01
5,11,2.9283e-01
5,12,-4.5760e-01
5,13,-4.8073e-01
5,14,-3.8244e-01
5,15,-3.4913e-01
5,16,-6.2346e-01
5,17,-5.2969e-01
5,18,-8.7128e-01
5,19,-2.5357e-01
5,20,-6.2412e-01
6,7,4.9502e-02
6,8,-3.4024e-01
6,9,-2.1098e-01
6,10,-2.6507e-02
6,11,-9.7023e-01
6,12,-4.7694e-01
6,13,-1.6030e-01
6,14,-9.0741e-01
6,15,-1.0850e-01
6,16,3.0783e-03
6,17,-5.9067e-01
6,18,-9.8902e-01
6,19,-8.4456e-01
6,20,-7.1397e-01
7,8,-5.1429e-01
7,9,-2.2932e-01
7,10,-8.7219e-02
7,11,-2.8509e-01
7,12,-2.3182e-01
7,13,-6.9859e-01
7,14,-6.8590e-01
7,15,-6.7992e-01
7,16,-8.9235e-01
7,17,-2.6533e-01
7,18,-2.2121e-01
7,19,-1.1433e+00
7,20,-3.7112e-01
8,9,2.7032e-01
8,10,-7.1576e-02
8,11,-4.1365e-01
8,12,-4.8141e-01
8,13,-1.9579e-01
8,14,-3.2882e-02
8,15,8.5663e-02
8,16,-4.4916e-01
8,17,-1.1725e+00
8,18,-2.1809e-01
8,19,-8.1105e-01
8,20,2.6147e-01
9,10,-3.2931e-01
9,11,-5.9908e-01
9,12,-5.9911e-02
9,13,-1.1548e+00
9,14,-4.2188e-01
9,15,-4.8342e-01
9,16,-3.0951e-01
9,17,-6.0640e-01
9,18,-3.7908e-01
9,19,-7.0554e-01
9,20,-5.0995e-01
10,11,-2.8486e-01
10,12,-1.2155e-02
10,13,5.1945e-01
10,14,-4.2302e-01
10,15,-2.9203e-01
10,16,4.4940e-02
10,17,-5.6597e-01
10,18,-4.6979e-01
10,19,-2.4272e-01
10,20,-6.5993e-01
11,12,-6.3887e-02
11,13,-4.4670e-01
11,14,-1.2409e-01
11,15,1.6154e-01
11,16,5.8017e-03
11,17,-5.7482e-03
11,18,-1.3010e-01
11,19,-3.7543e-01
11,20,-3.1438e-01
12,13,-7.6104e-01
12,14,-7.8221e-02
12,15,-3.3923e-01
12,16,-6.4194e-02
12,17,-6.6510e-01
12,18,7.9745e-02
12,19,-7.3226e-02
12,20,-1.8781e-01
13,14,3.2663e-01
13,15,5.9825e-01
13,16,4.3833e-01
13,17,-9.2340e-02
13,18,1.7548e-01
13,19,-9.5200e-02
13,20,-1.4444e-01
14,15,1.7948e-02
14,16,-5.3363e-01
14,17,-2.9532e-01
14,18,2.8239e-02
14,19,-5.1559e-01
14,20,2.6150e-01
15,16,-5.7570e-01
15,17,1.2904e-01
15,18,-2.3363e-01
15,19,-2.8888e-01
15,20,-2.5106e-01
16,17,-2.9345e-03
16,18,2.5905e-01
16,19,-4.7023e-01
16,20,-1.9959e-01
17,18,-6.0938e-02
17,19,-7.5280e-01
17,20,3.9802e-02
18,19,5.9745e-02
18,20,1.7995e-01
19,20,-3.4328e-01
