n1,n2,fij
1,2,9.0066e-01
1,3,4.3400e-01
1,4,-2.4970e-01
1,5,-3.7756e-01
1,6,4.3188e-01
1,7,-2.5468e-02
1,8,-8.0537e-03
1,9,8.0836e-02
1,10,-4.6382e-01
1,11,-1.1613e-01
1,12,2.0327e-02
1,13,7.9857e-03
1,14,-7.0246e-01
1,15,-6.9587e-01
1,16,-3.7329e-01
1,17,-8.8862e-01
1,18,-1.3163e+00
1,19,-5.2963e-01
1,20,-7.2837e-01
2,3,-3.9591e-01
2,4,-7.6406e-01
2,5,-5.9055e-01
2,6,1.8174e-01
2,7,-3.0415e-01
2,8,-5.4130e-01
2,9,-3.0283e-01
2,10,-5.8801e-01
2,11,-1.2657e+00
2,12,-9.1386e-01
2,13,-5.0087e-01
2,14,-1.2340e+00
2,15,-5.3811e-01
2,16,-7.8598e-01
2,17,-6.6194e-01
2,18,-7.6801e-01
2,19,-5.5661e-01
2,20,-4.5510e-01
3,4,-1.3043e-02
3,5,-2.9067e-01
3,6,-2.0450e-01
3,7,-3.4140e-01
3,8,-1.0847e+00
3,9,-5.6127e-01
3,10,-2.5533e-01
3,11,-4.3406e-01
3,12,-6.8773e-01
3,13,-2.9304e-01
3,14,-5.4745e-01
3,15,-2.5617e-01
3,16,-5.8531e-01
3,17,-1.3334e+00
3,18,-5.6768e-01
3,19,-7.0271e-01
3,20,-8.0747e-01
4,5,-2.1308e-01
4,6,1.9774e-01
4,7,-1.4070e-01
4,8,1.9778e-01
4,9,-2.0036e-01
4,10,-5.8298e-01
4,11,-1.4601e+00
4,12,-5.6101e-01
4,13,-8.3008e-01
4,14,-7.4896e-01
4,15,-4.3329e-01
4,16,-5.5147e-01
4,17,-4.0344e-01
4,18,-4.4151e-01
4,19,-4.2921e-01
4,20,-6.5498e-01
5,6,2.5153e-01
5,7,1.2256e-01
5,8,-3.8260e-01
5,9,-1.3102e-01
5,10,-1.7931e-01
5,11,-5.6022e-02
5,12,-4.3188e-01
5,13,-3.6409e-02
5,14,-1.5562e-01
5,15,-1.9379e-01
5,16,-2.7949e-01
5,17,-2.3725e-03
5,18,-6.1613e-01
5,19,-2.1493e-01
5,20,-7.8148e-01
6,7,-1.5775e-01
6,8,1.5201e-01
6,9,-2.8950e-01
6,10,-2.0675e-01
6,11,-8.2244e-01
6,12,-3.6094e-01
6,13,-1.4587e-02
6,14,-5.3179e-01
6,15,-5.3637e-02
6,16,8.9039e-02
6,17,-2.1619e-01
6,18,-9.6608e-01
6,19,-3.1718e-01
6,20,-3.2230e-01
7,8,-5.7597e-01
7,9,-5.0045e-01
7,10,7.8237e-02
7,11,-6.5137e-02
7,12,-1.0410e-02
7,13,-6.1199e-01
7,14,-1.0822e+00
7,15,-8.8462e-01
7,16,-1.1328e+00
7,17,-2.3107e-01
7,18,-2.5099e-01
7,19,-6.2821e-01
7,20,-3.4431e-01
8,9,-1.3884e-01
8,10,6.8537e-02
8,11,-4.9324e-01
8,12,-3.0153e-01
8,13,-5.1666e-01
8,14,-3.6806e-01
8,15,-1.5265e-01
8,16,-5.7925e-01
8,17,-8.4121e-01
8,18,-3.8156e-01
8,19,-7.6945e-01
8,20,-1.6895e-02
9,10,6.0727e-02
9,11,-6.5192e-01
9,12,2.7912e-01
9,13,-5.8436e-01
9,14,-4.4272e-02
9,15,-6.6487e-01
9,16,-2.1092e-01
9,17,-6.2974e-01
9,18,-6.2519e-01
9,19,-4.9138e-01
9,20,-2.7400e-01
10,11,-2.5719e-01
10,12,2.8934e-01
10,13,2.1381e-01
10,14,-3.9327e-01
10,15,-7.0742e-01
10,16,-2.9164e-01
10,17,-4.4222e-01
10,18,-5.2192e-01
10,19,-2.4874e-01
10,20,-1.8991e-01
11,12,2.1609e-02
11,13,-2.8406e-01
11,14,-1.1644e-01
11,15,6.7468e-02
11,16,-8.4285e-02
11,17,1.0836e-01
11,18,-4.1130e-01
11,19,-3.3216e-01
11,20,1.9308e-02
12,13,-4.7188e-01
12,14,2.3926e-01
12,15,-5.8181e-01
12,16,3.9519e-01
12,17,-5.1138e-01
12,18,1.9349e-01
12,19,5.4505e-01
12,20,-2.7317e-01
13,14,1.7101e-01
13,15,2.3321e-01
13,16,3.7445e-01
13,17,-2.9180e-01
13,18,2.4705e-01
13,19,7.5631e-02
13,20,-8.3247e-02
14,15,1.7046e-01
14,16,-2.8360e-01
14,17,2.8795e-01
14,18,5.3150e-02
14,19,-1.8135e-01
14,20,3.5562e-01
15,16,-3.0207e-01
15,17,2.4162e-01
15,18,-4.1834e-01
15,19,-3.5752e-01
15,20,-8.3718e-02
16,17,5.6683e-02
16,18,1.2462e-01
16,19,-2.6666e-01
16,20,3.4695e-01
17,18,-9.7625e-03
17,19,-6.8978e-01
17,20,2.3886e-01
18,19,3.2944e-01
18,20,-9.1962e-03
19,20,1.3861e-01
