n1,n2,fij
1,2,-1.2820e+00
1,3,4.7210e-01
1,4,-5.5046e-01
1,5,2.2391e-01
1,6,-9.1046e-01
1,7,4.7418e-02
1,8,-1.3458e+00
1,9,-7.4543e-01
1,10,-1.6304e-01
1,11,1.2131e-02
1,12,-1.3981e+00
1,13,2.3750e-01
1,14,-6.1416e-01
1,15,-7.6522e-01
1,16,-7.2538e-01
1,17,-2.5405e-01
1,18,-4.8872e-01
1,19,-8.9315e-02
1,20,-8.8915e-01
2,3,6.9960e-01
2,4,2.8244e-01
2,5,8.9454e-02
2,6,8.7397e-01
2,7,1.9865e-01
2,8,5.9848e-01
2,9,6.5073e-01
2,10,-3.1689e-01
2,11,-9.5128e-01
2,12,-6.0502e-01
2,13,5.8238e-01
2,14,-4.2880e-01
2,15,2.7757e-01
2,16,4.2901e-02
2,17,-2.5838e-01
2,18,2.9553e-01
2,19,-1.3461e-01
2,20,-7.5050e-02
3,4,2.1606e-01
3,5,-2.0018e-01
3,6,-8.8682e-01
3,7,-5.4095e-01
3,8,-7.9032e-01
3,9,-5.8905e-01
3,10,-8.5439e-01
3,11,1.5505e-01
3,12,-4.2449e-01
3,13,-2.1871e-01
3,14,-1.1120e+00
3,15,-1.0782e+00
3,16,-1.2201e+00
3,17,-4.5999e-01
3,18,-5.3662e-01
3,19,-1.6902e-01
3,20,-6.5810e-01
4,5,1.1280e-01
4,6,9.2807e-02
4,7,-2.9419e-03
4,8,-1.3515e+00
4,9,1.1437e-03
4,10,-2.0020e-01
4,11,1.8035e-01
4,12,-2.0998e-01
4,13,4.0825e-01
4,14,-5.0145e-01
4,15,-1.3105e-01
4,16,4.0240e-01
4,17,-6.2041e-01
4,18,-9.2942e-02
4,19,-4.2548e-01
4,20,-4.3362e-01
5,6,1.5957e-01
5,7,-2.9025e-02
5,8,-6.7598e-01
5,9,-5.5783e-02
5,10,-8.6895e-01
5,11,-3.2816e-01
5,12,-2.3730e-01
5,13,3.7217e-01
5,14,-2.1794e+00
5,15,1.8253e-01
5,16,-7.9503e-02
5,17,-1.6026e-01
5,18,2.4536e-01
5,19,-4.9413e-01
5,20,-1.6682e+00
6,7,-6.1416e-01
6,8,-3.8961e-01
6,9,1.0257e-04
6,10,-2.4435e-01
6,11,1.2867e-01
6,12,-4.0728e-01
6,13,-6.5853e-01
6,14,-3.1937e-02
6,15,-3.1216e-01
6,16,3.8102e-02
6,17,-5.7186e-01
6,18,-3.8696e-01
6,19,-4.2190e-01
6,20,-2.2242e-01
7,8,-4.6297e-01
7,9,-7.8774e-01
7,10,-3.1107e-02
7,11,-1.7173e-01
7,12,2.1802e-01
7,13,-4.5610e-01
7,14,-1.2063e-01
7,15,-5.6924e-01
7,16,-4.7284e-01
7,17,1.3347e-01
7,18,-3.6979e-01
7,19,-2.6624e-01
7,20,-1.0690e-01
8,9,1.1762e+00
8,10,-3.0135e-01
8,11,-3.7901e-01
8,12,7.3131e-02
8,13,1.5947e-01
8,14,9.0461e-02
8,15,-6.3864e-02
8,16,1.0948e+00
8,17,7.4874e-01
8,18,2.5494e-01
8,19,9.0524e-01
8,20,-3.2402e-01
9,10,6.7807e-01
9,11,9.8251e-01
9,12,7.1281e-01
9,13,1.3890e-01
9,14,-4.7150e-01
9,15,-1.4461e+00
9,16,-6.3793e-01
9,17,2.2380e-01
9,18,-4.1067e-01
9,19,1.6186e-01
9,20,-3.3565e-01
10,11,-6.0855e-01
10,12,-5.1493e-01
10,13,8.6064e-01
10,14,-3.5884e-01
10,15,4.1068e-03
10,16,6.3025e-03
10,17,5.2723e-01
10,18,3.3191e-01
10,19,6.9312e-01
10,20,-9.3982e-02
11,12,-4.3952e-01
11,13,5.9898e-01
11,14,-7.5152e-04
11,15,-4.8497e-01
11,16,-1.0066e+00
11,17,-5.0655e-01
11,18,-3.2324e-01
11,19,-1.1084e-02
11,20,-8.6668e-01
12,13,3.4607e-01
12,14,5.5763e-02
12,15,-1.1548e+00
12,16,-2.3657e-02
12,17,-3.0300e-01
12,18,-2.1711e-01
12,19,-1.2595e-01
12,20,-3.9124e-01
13,14,-4.0883e-01
13,15,-5.5056e-01
13,16,-2.1163e-01
13,17,-4.3409e-01
13,18,9.3519e-02
13,19,-1.5764e-01
13,20,-4.1816e-01
14,15,-5.5525e-01
14,16,8.8303e-01
14,17,-4.0036e-01
14,18,1.1673e-01
14,19,1.0642e-01
14,20,8.6975e-01
15,16,-1.2014e-01
15,17,1.6176e-02
15,18,-9.0582e-01
15,19,-1.8254e-01
15,20,-2.1107e-01
16,17,1.4927e-01
16,18,-7.0657e-02
16,19,2.3570e-01
16,20,-7.7382e-01
17,18,1.6251e-01
17,19,4.7626e-01
17,20,-1.3214e-01
18,19,7.8228e-02
18,20,-3.6941e-02
19,20,3.1812e-01
