n1,n2,fij
1,2,-9.4446e-01
1,3,1.5686e+00
1,4,1.9416e-01
1,5,-7.6214e-01
1,6,-1.1778e-01
1,7,-5.3063e-01
1,8,-4.5199e-01
1,9,9.9853e-01
1,10,7.8846e-01
1,11,6.9315e-01
1,12,-1.6705e-01
1,13,2.8768e-01
1,14,-3.3647e-01
1,15,0.0000e+00
1,16,9.4446e-01
1,17,-2.4116e-01
1,18,2.5783e-01
1,19,-2.2314e-01
1,20,-4.4629e-01
2,3,1.1527e+00
2,4,1.6252e-01
2,5,6.8993e-02
2,6,7.4108e-02
2,7,1.9416e-01
2,8,1.1632e+00
2,9,1.5686e+00
2,10,3.7469e-01
2,11,2.6236e-01
2,12,4.0547e-01
2,13,7.4721e-01
2,14,-2.2314e-01
2,15,2.8768e-01
2,16,1.6705e-01
2,17,-1.0536e-01
2,18,8.3291e-01
2,19,1.8232e-01
2,20,-4.4183e-01
3,4,-2.8768e-01
3,5,-9.4908e-01
3,6,-9.1629e-01
3,7,-1.0986e+00
3,8,-2.8768e-01
3,9,-1.3976e-01
3,10,-6.9315e-01
3,11,1.5415e-01
3,12,-4.2488e-01
3,13,-2.0067e-01
3,14,-1.2238e+00
3,15,-2.2687e+00
3,16,-1.5315e+00
3,17,0.0000e+00
3,18,-1.0217e+00
3,19,-1.0986e+00
3,20,-3.7156e-01
4,5,-2.2314e-01
4,6,-3.0538e-01
4,7,9.8083e-01
4,8,-1.7918e+00
4,9,-3.1015e-01
4,10,3.3647e-01
4,11,1.2516e-01
4,12,8.3291e-01
4,13,-4.0547e-01
4,14,-1.4310e-01
4,15,2.8768e-01
4,16,1.0498e+00
4,17,4.9248e-01
4,18,4.0547e-01
4,19,9.5310e-02
4,20,8.7547e-01
5,6,1.1778e-01
5,7,8.9382e-01
5,8,6.9315e-01
5,9,4.7957e-01
5,10,4.4183e-01
5,11,1.6740e+00
5,12,7.3089e-01
5,13,1.2238e+00
5,14,-9.5551e-01
5,15,6.9315e-01
5,16,3.1845e-01
5,17,1.1778e-01
5,18,1.0033e+00
5,19,-2.6236e-01
5,20,-5.5005e-01
6,7,4.8551e-01
6,8,-7.4108e-02
6,9,1.1451e+00
6,10,8.4730e-01
6,11,1.2730e+00
6,12,1.8232e-01
6,13,7.4108e-02
6,14,4.0547e-01
6,15,-1.8232e-01
6,16,4.9248e-01
6,17,-1.2730e+00
6,18,-7.3397e-01
6,19,8.0043e-02
6,20,-6.4539e-02
7,8,3.6291e-01
7,9,-1.0296e+00
7,10,8.1093e-01
7,11,8.7547e-01
7,12,2.6826e-01
7,13,4.8551e-01
7,14,-4.7957e-01
7,15,-6.9315e-01
7,16,9.9853e-01
7,17,-5.7158e-02
7,18,-8.7011e-02
7,19,0.0000e+00
7,20,1.6705e-01
8,9,7.6214e-01
8,10,2.4116e-01
8,11,-6.8993e-02
8,12,8.8730e-01
8,13,9.5310e-02
8,14,9.5310e-02
8,15,-1.8232e-01
8,16,3.4831e-01
8,17,1.4663e+00
8,18,1.1632e+00
8,19,8.4730e-01
8,20,-1.8458e+00
9,10,0.0000e+00
9,11,-6.9315e-01
9,12,-3.5667e-01
9,13,-7.3760e-01
9,14,-1.0986e+00
9,15,-1.6740e+00
9,16,-1.4271e+00
9,17,-4.0547e-01
9,18,-1.2111e+00
9,19,-5.1083e-01
9,20,-7.9851e-01
10,11,-1.7346e+00
10,12,-1.8232e-01
10,13,1.0296e+00
10,14,0.0000e+00
10,15,2.1131e-01
10,16,0.0000e+00
10,17,1.2528e+00
10,18,1.0561e+00
10,19,3.1845e-01
10,20,1.0536e-01
11,12,8.0043e-02
11,13,-1.4351e+00
11,14,-8.0043e-02
11,15,-8.9382e-01
11,16,-7.4108e-02
11,17,-6.4539e-02
11,18,-1.3353e-01
11,19,-1.0116e+00
11,20,-1.4663e+00
12,13,9.1629e-01
12,14,-4.9644e-01
12,15,-1.1939e+00
12,16,1.0986e+00
12,17,0.0000e+00
12,18,-2.4512e-01
12,19,-1.2164e+00
12,20,-1.9416e-01
13,14,-1.1394e+00
13,15,-6.3599e-01
13,16,5.1083e-01
13,17,-4.8551e-01
13,18,8.7547e-01
13,19,7.9851e-01
13,20,-2.8768e-01
14,15,4.0547e-01
14,16,5.5962e-01
14,17,4.5199e-01
14,18,6.1904e-01
14,19,-3.0538e-01
14,20,4.0547e-01
15,16,1.0536e-01
15,17,-4.2744e-01
15,18,-1.8718e+00
15,19,8.0043e-02
15,20,5.1083e-01
16,17,3.2542e-01
16,18,-2.5131e-01
16,19,-5.3900e-01
16,20,-2.2314e-01
17,18,2.5131e-01
17,19,2.2314e-01
17,20,-6.1904e-01
18,19,2.8768e-01
18,20,2.8768e-01
19,20,5.1083e-01
