n1,n2,fij
1,2,-9.7581e-01
1,3,2.7364e-02
1,4,-7.8694e-01
1,5,-7.1530e-01
1,6,-9.5808e-01
1,7,-3.7816e-01
1,8,-1.3656e+00
1,9,4.1039e-01
1,10,-7.6777e-01
1,11,-2.0649e-01
1,12,-1.1459e+00
1,13,-3.9025e-01
1,14,-2.3649e+00
1,15,-1.0276e+00
1,16,-2.7001e-01
1,17,-8.0690e-01
1,18,-5.5260e-01
1,19,-6.3338e-01
1,20,-1.1330e+00
2,3,6.7516e-01
2,4,-1.4483e-01
2,5,3.5188e-01
2,6,4.2562e-01
2,7,6.4549e-01
2,8,-3.2221e-02
2,9,1.0990e+00
2,10,-3.8678e-01
2,11,-2.5211e-01
2,12,-9.7542e-02
2,13,3.0131e-01
2,14,-6.5742e-01
2,15,-7.6974e-02
2,16,-2.3056e-01
2,17,-6.5170e-01
2,18,2.2558e-01
2,19,4.2817e-01
2,20,-4.0123e-01
3,4,-4.4066e-01
3,5,-6.3098e-01
3,6,-3.8801e-01
3,7,-6.7488e-01
3,8,-9.1289e-01
3,9,8.9898e-02
3,10,-7.1875e-01
3,11,-2.7352e-01
3,12,-9.3375e-01
3,13,-3.5564e-01
3,14,-8.3285e-01
3,15,-9.6328e-01
3,16,-1.0645e+00
3,17,-2.4652e-01
3,18,-6.7955e-01
3,19,-8.1646e-01
3,20,-3.2520e-01
4,5,-9.9590e-02
4,6,2.6343e-01
4,7,5.0875e-01
4,8,-5.1410e-01
4,9,-3.0549e-02
4,10,7.6007e-02
4,11,4.0810e-01
4,12,2.8596e-01
4,13,-1.0806e-02
4,14,-1.5256e-01
4,15,-8.6607e-02
4,16,1.3844e-01
4,17,2.6697e-01
4,18,-7.0301e-02
4,19,5.0204e-01
4,20,9.6477e-02
5,6,2.2429e-02
5,7,7.3872e-01
5,8,-1.4775e-01
5,9,-9.6170e-04
5,10,-1.7681e-01
5,11,7.1692e-01
5,12,3.9610e-02
5,13,6.5330e-01
5,14,-8.9236e-01
5,15,-5.9975e-02
5,16,2.0166e-01
5,17,-5.6829e-01
5,18,1.0015e-01
5,19,1.5148e-01
5,20,-3.0845e-01
6,7,3.8306e-01
6,8,-7.4483e-01
6,9,2.1316e-01
6,10,2.2265e-01
6,11,5.7209e-01
6,12,-8.7135e-01
6,13,2.6093e-01
6,14,4.5916e-02
6,15,-5.2745e-01
6,16,1.5867e-01
6,17,-7.5432e-01
6,18,-5.1926e-01
6,19,1.6541e-01
6,20,-1.2557e-01
7,8,-4.8595e-01
7,9,-2.2082e-01
7,10,-5.5279e-02
7,11,1.2094e-02
7,12,2.2591e-01
7,13,-4.1948e-01
7,14,-1.4524e-01
7,15,-5.7141e-01
7,16,8.5702e-02
7,17,-2.2787e-01
7,18,-7.2526e-01
7,19,-2.6663e-02
7,20,-3.7671e-01
8,9,8.9399e-01
8,10,-5.7014e-02
8,11,2.7064e-01
8,12,1.0107e-01
8,13,2.2341e-01
8,14,8.4373e-02
8,15,6.3153e-02
8,16,-1.3958e-01
8,17,4.3077e-01
8,18,6.3199e-01
8,19,5.8382e-01
8,20,-4.8494e-01
9,10,-2.1750e-01
9,11,-1.0005e+00
9,12,-4.7620e-01
9,13,-9.1870e-01
9,14,-7.9304e-01
9,15,-1.6695e+00
9,16,-1.0944e+00
9,17,-7.3631e-01
9,18,-9.5133e-01
9,19,-4.4453e-01
9,20,-5.4657e-01
10,11,-4.6803e-01
10,12,-7.4075e-01
10,13,4.4217e-01
10,14,2.2966e-01
10,15,4.2860e-01
10,16,-7.5117e-02
10,17,2.4498e-01
10,18,8.3859e-01
10,19,4.2706e-01
10,20,-1.0344e-02
11,12,-1.7753e-01
11,13,-3.3412e-02
11,14,-4.5068e-01
11,15,-3.0655e-01
11,16,-6.9154e-02
11,17,-3.0392e-01
11,18,-3.1850e-01
11,19,-4.3428e-01
11,20,-9.2144e-01
12,13,5.2842e-01
12,14,-2.3349e-01
12,15,-8.2238e-01
12,16,6.0173e-01
12,17,-3.2372e-01
12,18,3.0021e-01
12,19,1.1190e-01
12,20,-2.2951e-01
13,14,-9.0996e-01
13,15,-1.9050e-01
13,16,3.2326e-01
13,17,-3.6071e-01
13,18,8.2206e-02
13,19,4.8778e-01
13,20,-1.5544e-01
14,15,3.2046e-01
14,16,6.0484e-01
14,17,3.2081e-02
14,18,-3.0683e-02
14,19,3.2048e-01
14,20,4.0596e-01
15,16,-3.2153e-01
15,17,-4.0764e-01
15,18,-1.1733e+00
15,19,1.0468e+00
15,20,7.2486e-02
16,17,-1.5094e-01
16,18,-2.6728e-01
16,19,2.8445e-01
16,20,-6.5375e-01
17,18,9.5577e-02
17,19,1.4120e-01
17,20,-5.3083e-01
18,19,4.4262e-01
18,20,1.7224e-01
19,20,-3.4314e-01
