n1,n2,fij
1,2,-7.0748e-01
1,3,-2.4527e-01
1,4,-7.7112e-01
1,5,-4.6939e-01
1,6,-4.9439e-01
1,7,-5.5403e-01
1,8,-1.6111e+00
1,9,1.4485e-01
1,10,-4.0001e-01
1,11,-1.3360e-01
1,12,-1.1150e+00
1,13,-2.4914e-01
1,14,-1.6081e+00
1,15,-8.5863e-01
1,16,-2.9041e-01
1,17,-8.3473e-01
1,18,-3.7048e-01
1,19,-3.4679e-01
1,20,-9.9853e-01
2,3,8.8623e-01
2,4,1.0714e-01
2,5,7.4007e-02
2,6,8.1336e-01
2,7,6.8674e-01
2,8,3.6861e-02
2,9,1.0891e+00
2,10,-1.0820e-01
2,11,-6.3443e-02
2,12,-1.2168e-01
2,13,3.9714e-01
2,14,-7.4685e-01
2,15,-1.4992e-01
2,16,-2.7021e-01
2,17,-4.9007e-01
2,18,3.9491e-01
2,19,4.0981e-02
2,20,-1.7598e-01
3,4,-2.3943e-01
3,5,-7.3879e-01
3,6,-4.2065e-01
3,7,-6.8110e-01
3,8,-1.0474e+00
3,9,8.3240e-02
3,10,-5.4515e-01
3,11,-1.6261e-02
3,12,-7.3554e-01
3,13,-2.3503e-01
3,14,-9.9675e-01
3,15,-1.1517e+00
3,16,-1.0788e+00
3,17,-1.6717e-01
3,18,-5.0202e-01
3,19,-2.4165e-01
3,20,-4.2197e-01
4,5,-9.0558e-02
4,6,5.4513e-01
4,7,5.1559e-01
4,8,-1.0796e+00
4,9,-2.4107e-01
4,10,1.9916e-01
4,11,4.1849e-01
4,12,8.7076e-03
4,13,2.1273e-01
4,14,-2.3180e-01
4,15,-3.2175e-01
4,16,2.4052e-01
4,17,1.2052e-02
4,18,1.0286e-01
4,19,4.6311e-01
4,20,-1.8634e-01
5,6,-1.9461e-01
5,7,3.2497e-01
5,8,-2.5053e-01
5,9,-5.8456e-02
5,10,-2.8499e-01
5,11,5.8370e-01
5,12,-1.1452e-01
5,13,6.2626e-01
5,14,-7.7905e-01
5,15,3.3850e-02
5,16,1.8629e-01
5,17,-2.3361e-01
5,18,7.9931e-02
5,19,2.3596e-01
5,20,-2.4405e-01
6,7,2.8242e-01
6,8,-6.3584e-01
6,9,-1.0750e-01
6,10,1.6966e-02
6,11,3.6974e-01
6,12,-6.5822e-01
6,13,6.2107e-02
6,14,1.2109e-02
6,15,-4.8511e-01
6,16,-2.5388e-01
6,17,-6.6046e-01
6,18,-4.6697e-01
6,19,-3.6088e-02
6,20,-2.4825e-02
7,8,-3.7539e-01
7,9,-6.3280e-01
7,10,2.4735e-01
7,11,-2.6115e-02
7,12,-1.6337e-01
7,13,-6.7136e-02
7,14,-4.5318e-01
7,15,-4.4766e-01
7,16,-5.0676e-02
7,17,-3.2765e-01
7,18,-5.8382e-01
7,19,1.0947e-01
7,20,-3.5297e-01
8,9,1.1619e+00
8,10,-1.0502e-02
8,11,2.0956e-01
8,12,1.8741e-01
8,13,6.4484e-01
8,14,1.0392e-01
8,15,-6.5143e-02
8,16,2.2192e-01
8,17,2.6804e-01
8,18,3.9670e-01
8,19,1.0834e+00
8,20,-4.6498e-01
9,10,5.1115e-01
9,11,-2.4670e-01
9,12,-4.9445e-01
9,13,-8.8189e-02
9,14,-9.0895e-01
9,15,-1.4250e+00
9,16,-9.9392e-01
9,17,-9.8265e-01
9,18,-7.5128e-01
9,19,1.8994e-01
9,20,-5.8769e-01
10,11,-6.6273e-01
10,12,-2.8107e-01
10,13,4.1123e-01
10,14,-1.2651e-02
10,15,2.8443e-01
10,16,7.6439e-02
10,17,6.4381e-01
10,18,4.5971e-01
10,19,6.1971e-01
10,20,-1.5081e-01
11,12,-3.8246e-01
11,13,1.6767e-02
11,14,-8.0840e-01
11,15,-6.2555e-01
11,16,-3.2707e-02
11,17,-7.9569e-01
11,18,-3.3987e-01
11,19,-1.9785e-02
11,20,-1.0898e+00
12,13,6.9067e-01
12,14,-6.6057e-01
12,15,-7.2238e-01
12,16,6.4276e-01
12,17,-3.4465e-01
12,18,6.7908e-01
12,19,1.9483e-02
12,20,-9.8698e-02
13,14,-1.1019e+00
13,15,-4.0498e-01
13,16,3.5507e-01
13,17,-8.3492e-01
13,18,3.7384e-01
13,19,-9.9697e-02
13,20,-4.2474e-01
14,15,1.5239e-01
14,16,3.9770e-01
14,17,5.6498e-02
14,18,3.8517e-01
14,19,3.2020e-01
14,20,1.4200e-01
15,16,-2.9215e-01
15,17,-2.4726e-01
15,18,-7.1937e-01
15,19,3.8810e-01
15,20,5.2526e-03
16,17,-3.2277e-01
16,18,-1.6621e-01
16,19,-1.7847e-01
16,20,-4.2128e-01
17,18,2.5892e-01
17,19,8.3319e-01
17,20,-3.8441e-01
18,19,3.1018e-01
18,20,-6.5450e-02
19,20,-4.8544e-01
