n1,n2,weight
1,2,-1.0206e+00
1,3,-1.7622e+00
1,4,-1.5757e+00
1,5,1.4042e+00
1,6,-3.6227e-03
1,7,-1.4885e+00
1,8,-2.9791e+00
1,9,-5.6852e-01
1,10,-2.7424e+00
1,11,-2.3483e+00
1,12,-1.5877e+00
1,13,-2.8425e+00
1,14,-3.8898e+00
1,15,-1.5666e+00
1,16,2.5070e-02
1,17,1.7007e-02
1,18,-8.9199e-01
1,19,-1.2974e+00
1,20,-3.5625e+00
2,1,5.8331e-01
2,3,3.0194e+00
2,4,4.0959e-01
2,5,9.0630e-01
2,6,-1.1972e+00
2,7,-1.7469e+00
2,8,-8.0273e-01
2,9,-1.5531e+00
2,10,-1.6767e+00
2,11,7.7792e-01
2,12,1.4581e+00
2,13,-8.3102e-01
2,14,-5.1832e-01
2,15,2.1044e-01
2,16,1.6991e-01
2,17,-3.5143e-01
2,18,-1.5086e+00
2,19,-7.9505e-01
2,20,-1.9394e-01
3,1,1.0793e+00
3,2,-2.5506e+00
3,4,5.1666e-01
3,5,-1.3418e+00
3,6,-3.6622e-01
3,7,-2.6087e+00
3,8,-3.6029e+00
3,9,-2.0667e+00
3,10,-5.2936e-01
3,11,-1.5146e+00
3,12,-1.1737e+00
3,13,-2.0948e-01
3,14,3.3643e-01
3,15,-1.2457e-01
3,16,-8.6346e-04
3,17,-2.3415e+00
3,18,-7.2817e-01
3,19,-1.1488e+00
3,20,-8.9560e-01
4,1,8.0783e-02
4,2,-1.6193e+00
4,3,-1.4713e-01
4,5,-1.7298e+00
4,6,-7.4923e-01
4,7,-3.9462e+00
4,8,-7.7265e-01
4,9,-1.2784e+00
4,10,-5.9992e-01
4,11,-4.3259e-01
4,12,-1.9150e+00
4,13,2.2268e-01
4,14,6.5228e-01
4,15,3.0915e-01
4,16,-1.6257e-01
4,17,-1.4143e+00
4,18,-1.6236e+00
4,19,-1.1353e+00
4,20,8.8730e-01
5,1,3.5008e-01
5,2,-1.3729e+00
5,3,-1.8954e+00
5,4,-1.8534e+00
5,6,-1.4765e+00
5,7,-1.4096e+00
5,8,-3.7564e+00
5,9,-2.6452e+00
5,10,-2.0528e+00
5,11,-3.6341e+00
5,12,-3.7245e+00
5,13,-3.1822e+00
5,14,1.3057e+00
5,15,-1.3720e+00
5,16,4.3017e-01
5,17,-6.8617e-01
5,18,-3.3445e-01
5,19,-1.0603e-01
5,20,1.3180e+00
6,1,-4.8652e-01
6,2,-5.9120e-01
6,3,-1.6928e+00
6,4,5.4722e-01
6,5,-1.6389e+00
6,7,-2.2289e+00
6,8,-4.8081e-01
6,9,-1.6310e+00
6,10,-2.7747e+00
6,11,-3.1035e+00
6,12,-3.4648e+00
6,13,-1.8962e+00
6,14,3.4640e-01
6,15,-1.9194e+00
6,16,-1.6631e+00
6,17,-1.6518e+00
6,18,-1.1046e+00
6,19,-2.0777e+00
6,20,-9.3329e-01
7,1,1.3862e+00
7,2,3.0815e-01
7,3,-1.1515e+00
7,4,1.0729e+00
7,5,3.0243e+00
7,6,3.1928e+00
7,8,1.8164e-01
7,9,1.9437e+00
7,10,1.9078e+00
7,11,2.6091e+00
7,12,4.7984e-01
7,13,9.0997e-01
7,14,3.3439e+00
7,15,3.0021e+00
7,16,2.3042e+00
7,17,1.6800e+00
7,18,1.1509e+00
7,19,1.9927e+00
7,20,3.9630e+00
8,1,1.0310e+00
8,2,-2.7606e-01
8,3,3.3026e-01
8,4,3.1640e+00
8,5,1.6269e+00
8,6,3.6650e-01
8,7,-1.5004e+00
8,9,-3.4386e-01
8,10,1.5015e+00
8,11,3.0263e+00
8,12,8.3960e-01
8,13,7.2281e-01
8,14,-3.6669e-01
8,15,1.6549e-02
8,16,3.6987e+00
8,17,2.8776e+00
8,18,-1.1004e+00
8,19,-3.7779e-01
8,20,1.4544e+00
9,1,2.6169e+00
9,2,-4.5207e-01
9,3,-6.3487e-01
9,4,3.3322e+00
9,5,2.6066e-01
9,6,1.3225e+00
