n1,n2,weight
1,2,7.1900e-01
1,3,-3.3566e+00
1,4,8.6226e-01
1,5,-4.5036e+00
1,6,7.5536e-01
1,7,-3.4536e+00
1,8,-2.0322e+00
1,9,1.0571e+00
1,10,-1.1634e+00
1,11,-2.7236e+00
1,12,-1.8872e+00
1,13,-3.5714e+00
1,14,-1.9621e+00
1,15,-2.5332e+00
1,16,-6.3741e+00
1,17,-6.4967e-01
1,18,-6.4292e+00
1,19,-8.0582e+00
1,20,-7.1648e+00
2,1,-1.0966e+00
2,3,2.0727e+00
2,4,6.9680e-01
2,5,8.1918e-01
2,6,-1.2653e+00
2,7,-3.6449e+00
2,8,-2.6678e+00
2,9,2.6550e+00
2,10,1.1295e-01
2,11,2.7192e+00
2,12,1.8755e+00
2,13,-5.0557e+00
2,14,3.3815e-01
2,15,3.0964e+00
2,16,-5.9812e-02
2,17,-1.1628e+00
2,18,-2.4488e+00
2,19,-5.5035e+00
2,20,-4.3976e+00
3,1,1.3306e+00
3,2,-8.7003e-01
3,4,2.8532e+00
3,5,-1.0046e+00
3,6,2.2416e+00
3,7,3.5630e+00
3,8,-6.6955e-01
3,9,-1.4222e+00
3,10,-3.2967e+00
3,11,1.4366e+00
3,12,2.7023e+00
3,13,-2.6677e+00
3,14,-2.0172e+00
3,15,2.2865e+00
3,16,8.0624e-01
3,17,7.8194e-01
3,18,1.6282e-01
3,19,-2.3546e+00
3,20,3.3617e+00
4,1,2.7222e+00
4,2,1.6257e+00
4,3,-5.5852e-01
4,5,2.4607e+00
4,6,-9.8630e-01
4,7,1.1838e+00
4,8,-1.5268e+00
4,9,-2.8639e+00
4,10,-5.6182e-02
4,11,8.4218e-01
4,12,-1.9597e+00
4,13,-1.1506e+00
4,14,-6.3419e-01
4,15,4.1424e+00
4,16,-1.5450e+00
4,17,-6.3721e-01
4,18,-3.0949e+00
4,19,-1.9811e+00
4,20,7.4169e-01
5,1,7.4433e-01
5,2,-1.6707e+00
5,3,1.5425e+00
5,4,-7.4907e-01
5,6,3.9828e-01
5,7,1.5403e-01
5,8,-1.9080e+00
5,9,-2.1509e+00
5,10,-3.9622e-01
5,11,-4.3065e-01
5,12,6.3618e-03
5,13,-3.3476e+00
5,14,-1.5942e+00
5,15,1.7052e+00
5,16,-1.2643e-01
5,17,-2.8971e-02
5,18,-1.0606e+00
5,19,-1.5667e+00
5,20,-1.1509e+00
6,1,-9.4003e-01
6,2,3.1016e+00
6,3,-1.5845e+00
6,4,3.1550e+00
6,5,2.1629e+00
6,7,9.7597e-01
6,8,-1.5250e+00
6,9,3.5245e-01
6,10,2.8097e+00
6,11,3.4364e-01
6,12,4.3128e-01
6,13,-1.6946e+00
6,14,-2.5575e+00
6,15,-3.2864e+00
6,16,-3.7198e-01
6,17,4.3183e-01
6,18,-1.3271e+00
6,19,2.7800e+00
6,20,-6.0267e-01
7,1,1.1804e+00
7,2,4.0617e+00
7,3,-1.3740e+00
7,4,3.9893e+00
7,5,2.4061e+00
7,6,1.2235e+00
7,8,1.0912e+00
