n1,n2,weight
1,2,1.4275e+00
1,3,-2.1739e+00
1,4,-1.3116e+00
1,5,9.6836e-01
1,6,3.7292e-01
1,7,-8.8919e-02
1,8,2.4578e-01
1,9,1.5539e+00
1,10,-3.7560e-01
1,11,-3.5198e+00
1,12,-7.4772e-01
1,13,-8.1937e-02
1,14,2.4244e+00
1,15,7.8333e-01
1,16,2.5160e+00
1,17,-5.9449e-01
1,18,7.2848e-01
2,1,1.8187e+00
2,3,3.2459e+00
2,4,-2.2772e+00
2,5,3.1741e+00
2,6,2.7292e+00
2,7,-8.7483e-02
2,8,7.0533e-01
2,9,1.5283e+00
2,10,3.0169e+00
2,11,-3.8696e-01
2,12,1.4635e+00
2,13,-2.1432e-01
2,14,3.6125e+00
2,15,7.2361e-01
2,16,-5.8208e-01
2,17,-1.1283e+00
2,18,-9.6104e-01
3,1,-1.8933e-01
3,2,-1.8694e+00
3,4,-1.9602e+00
3,5,-4.2610e-02
3,6,2.3910e-01
3,7,-1.6710e+00
3,8,-9.3889e-01
3,9,-7.6490e-01
3,10,-1.5871e-01
3,11,1.9207e+00
3,12,-1.3208e+00
3,13,1.5744e-01
3,14,3.9649e-01
3,15,-7.7784e-01
3,16,-1.1420e+00
3,17,-2.0533e+00
3,18,2.6121e-01
4,1,3.1152e+00
4,2,-4.2148e-01
4,3,9.7069e-01
4,5,-6.5025e-01
4,6,-1.1150e+00
4,7,-7.8205e-01
4,8,-2.6357e+00
4,9,6.1877e-01
4,10,2.3188e+00
4,11,-2.0283e-01
4,12,-1.0747e+00
4,13,8.3306e-01
4,14,1.1562e+00
4,15,8.1810e-01
4,16,6.8189e-01
4,17,1.1713e+00
4,18,-5.0703e-01
5,1,2.1375e+00
5,2,1.5854e+00
5,3,2.8759e+00
5,4,-4.8792e-01
5,6,-3.6030e-01
5,7,-8.8324e-01
5,8,-5.1722e-01
5,9,1.3017e+00
5,10,-2.9218e-01
5,11,2.0486e+00
5,12,3.8155e-01
5,13,2.6933e-01
5,14,1.6736e+00
5,15,5.7426e-01
5,16,8.0126e-01
5,17,-6.1291e-02
5,18,2.2676e-02
6,1,9.8521e-01
6,2,2.8249e+00
6,3,-4.1223e-01
6,4,3.5016e+00
6,5,-8.7505e-01
6,7,8.6197e-01
6,8,1.0082e+00
6,9,3.4538e+00
6,10,-8.0644e-01
6,11,-1.5350e+00
6,12,-1.1357e+00
6,13,-4.0268e-01
6,14,1.2115e+00
6,15,-1.9158e+00
6,16,-2.4678e-01
6,17,2.3508e+00
6,18,1.0696e+00
7,1,6.8289e-01
7,2,-1.2909e+00
7,3,-5.4223e-01
7,4,-2.7424e-01
7,5,1.7836e+00
7,6,4.9143e-01
7,8,-6.0682e-01
7,9,3.8892e+00
7,10,1.4900e+00
7,11,1.4940e+00
7,12,-2.1311e-01
7,13,1.9492e+00
7,14,-3.2657e-01
7,15,7.3491e-02
7,16,6.3818e-02
7,17,2.3797e+00
7,18,-2.1660e+00
8,1,3.5713e+00
8,2,-1.1943e-01
8,3,3.1373e-01
8,4,-1.3099e-01
8,5,-1.0553e+00
8,6,1.4722e-01
8,7,1.8771e+00
8,9,3.0430e+00
8,10,3.7530e+00
8,11,7.3979e-01
8,12,7.8660e-02
8,13,1.3623e-01
8,14,-3.8794e-01
8,15,4.7397e-01
8,16,9.4256e-01
8,17,-4.3311e-01
8,18,1.7408e-01
9,1,4.8031e-01
9,2,-1.5931e+00
9,3,1.9625e+00
9,4,-1.0000e+00
9,5,1.4914e+00
9,6,7.7136e-01
9,7,-1.9987e+00
9,8,-1.7409e+00
9,10,-7.8903e-01
9,11,1.7921e+00
9,12,1.9422e+00
9,13,1.2915e+00
9,14,3.1377e+00
9,15,1.0925e+00
9,16,-1.0677e+00
9,17,-1.7343e-01
9,18,6.4428e-01
10,1,4.1595e-01
10,2,7.4284e-01
10,3,3.5205e+00
10,4,1.4335e-01
10,5,-4.9767e-02
10,6,-6.6641e-02
10,7,-2.2156e+00
10,8,5.8033e-01
10,9,8.8947e-01
10,11,5.9351e-01
10,12,-8.0101e-01
10,13,9.2819e-01
10,14,5.2205e+00
10,15,-1.5965e+00
10,16,-1.4271e+00
10,17,2.0019e+00
10,18,-9.9642e-01
11,1,4.8204e-01
11,2,6.6508e-01
11,3,-2.9111e+00
11,4,2.2213e+00
11,5,-8.6789e-01
11,6,-2.4726e-01
11,7,-2.1978e+00
11,8,2.5662e+00
11,9,2.1892e-01
11,10,4.3060e+00
11,12,6.7215e-02
11,13,-3.6393e+00
11,14,1.0978e+00
11,15,-1.9533e+00
11,16,1.6287e-01
11,17,5.3856e-01
11,18,-1.1413e+00
12,1,-6.3538e-01
12,2,-9.4015e-01
12,3,1.6525e-01
12,4,-2.7226e+00
12,5,-1.3550e-01
12,6,7.2668e-01
12,7,-2.0696e+00
12,8,9.5158e-01
12,9,-8.1097e-01
12,10,1.1419e+00
12,11,-1.7046e+00
12,13,-1.7169e+00
12,14,-1.9434e+00
12,15,-1.1365e+00
12,16,-1.3665e+00
12,17,-2.0705e+00
12,18,-8.2617e-02
13,1,-2.8054e+00
13,2,-2.3008e+00
13,3,1.6025e-01
13,4,-8.3403e-01
13,5,-2.0861e+00
13,6,-6.9348e-02
13,7,-1.6937e+00
13,8,-1.6696e+00
13,9,-6.5951e-02
13,10,-1.1105e+00
13,11,8.5131e-01
13,12,-8.9044e-01
13,14,6.6394e-01
13,15,-6.8545e-01
13,16,-1.1401e+00
13,17,-2.3891e+00
13,18,-2.3958e+00
14,1,6.9735e-02
14,2,1.4605e-01
14,3,2.6366e+00
14,4,5.2155e-02
14,5,5.9021e-01
14,6,4.1158e+00
14,7,-1.2445e+00
14,8,-3.6999e-01
14,9,1.1608e+00
14,10,2.5965e+00
14,11,1.1106e+00
14,12,-6.4729e-01
14,13,5.3023e-01
14,15,1.9162e+00
14,16,-3.6178e-01
14,17,4.7544e-01
14,18,-2.3817e+00
15,1,6.5143e-01
15,2,-5.5600e-01
15,3,1.7420e-01
15,4,-2.2552e+00
15,5,4.0074e-01
15,6,-4.8269e-01
15,7,2.9815e+00
15,8,2.6124e+00
15,9,-2.4533e-01
15,10,5.0623e-01
15,11,-6.8274e-01
15,12,-1.0466e+00
15,13,-5.0757e-02
15,14,-5.6628e-01
15,16,2.0663e+00
15,17,3.1599e-01
15,18,-9.7298e-01
16,1,3.3157e-02
16,2,-1.8133e-01
16,3,-4.0641e-01
16,4,-1.3853e-01
16,5,-6.8791e-01
16,6,-2.1817e+00
16,7,6.6313e-01
16,8,-3.5918e-01
16,9,1.4475e+00
16,10,1.6425e+00
16,11,3.0379e-01
16,12,-1.1044e-01
16,13,1.8175e+00
16,14,2.1440e+00
16,15,1.9499e+00
16,17,4.5011e-01
16,18,-4.4731e-01
17,1,4.8698e-01
17,2,-7.8895e-01
17,3,6.9760e-01
17,4,-1.1973e+00
17,5,1.0883e+00
17,6,8.9942e-01
17,7,-1.4231e+00
17,8,-1.7919e+00
17,9,2.3679e+00
17,10,-1.0493e+00
17,11,-1.4763e+00
17,12,-6.1525e-02
17,13,-1.9275e+00
17,14,-9.7851e-01
17,15,-9.7759e-01
17,16,-1.0235e+00
17,18,4.6592e-01
18,1,1.6045e-01
18,2,9.0466e-01
18,3,8.2970e-02
18,4,1.2026e+00
18,5,1.7956e+00
18,6,9.6480e-01
18,7,3.2358e-01
18,8,-1.9595e+00
18,9,-9.0256e-01
18,10,-7.9928e-01
18,11,-2.1958e-01
18,12,-1.8155e+00
18,13,-1.5646e+00
18,14,-5.5701e-01
18,15,2.2958e+00
18,16,-1.4925e+00
18,17,-2.0237e+00
