n1,n2,weight
1,2,7.8661e+00
1,3,1.4060e+00
1,4,-2.9134e+00
1,5,-1.4961e-01
1,6,1.8726e+00
1,7,2.9214e+00
1,8,1.7596e+00
1,9,2.5830e+00
1,10,-1.5561e+00
1,11,7.6112e-01
1,12,2.0604e+00
1,13,1.0928e+00
1,14,-4.3702e+00
1,15,-1.3602e+00
1,16,-1.4118e-01
1,17,-4.5241e+00
1,18,-6.4075e+00
1,19,-1.9090e+00
1,20,-6.2462e+00
2,1,-8.2844e+00
2,3,-3.2987e+00
2,4,-5.6642e+00
2,5,-3.3807e+00
2,6,-1.4309e+00
2,7,-2.9789e+00
2,8,-2.8651e+00
2,9,-9.9105e-01
2,10,-2.8797e+00
2,11,-6.9531e+00
2,12,-5.2199e+00
2,13,-6.1069e-01
2,14,-1.1273e+01
2,15,-4.3424e+00
2,16,-6.6211e+00
2,17,-7.0799e+00
2,18,-6.1620e+00
2,19,-7.9360e+00
2,20,-5.2795e+00
3,1,-7.9461e-01
3,2,4.2210e+00
3,4,-1.1385e-01
3,5,-2.1719e+00
3,6,-7.9595e-01
3,7,-1.6096e+00
3,8,-2.9784e+00
3,9,-1.3964e+00
3,10,2.2334e-01
3,11,-1.9598e+00
3,12,-3.0625e+00
3,13,-2.0122e+00
3,14,-6.8868e-01
3,15,-5.0694e+00
3,16,-3.0713e+00
3,17,-3.9474e+00
3,18,-2.1559e+00
3,19,-3.2481e+00
3,20,-3.7930e+00
4,1,1.8435e+00
4,2,5.8738e+00
4,3,-1.5631e+00
4,5,-2.4391e-01
4,6,-8.4474e-02
4,7,2.3361e+00
4,8,1.3116e+00
4,9,5.9741e-01
4,10,-3.7258e+00
4,11,-6.7074e+00
4,12,-3.7510e+00
4,13,-3.1380e+00
4,14,-4.5917e+00
4,15,-3.6439e+00
4,16,-2.3047e+00
4,17,-5.3511e+00
4,18,-1.5773e+00
4,19,-9.5188e-01
4,20,-4.6310e+00
5,1,2.0361e+00
5,2,6.5963e+00
5,3,2.1971e+00
5,4,-1.0727e+00
5,6,5.8705e-01
5,7,6.0360e-01
5,8,-1.3517e+00
5,9,-1.0808e+00
5,10,-2.5491e+00
5,11,2.1928e+00
5,12,-3.9151e+00
5,13,-3.3417e+00
5,14,-2.5259e+00
5,15,-1.1556e-01
5,16,-2.4372e+00
5,17,-2.5498e+00
5,18,-3.5532e+00
5,19,-3.6376e+00
5,20,-5.2545e+00
6,1,-3.9137e+00
6,2,2.1486e+00
6,3,4.8270e-01
6,4,6.8301e-01
6,5,-4.5053e+00
6,7,4.9954e-01
6,8,-4.0612e-01
6,9,4.4755e-01
6,10,-3.3693e-01
6,11,-3.5266e+00
6,12,-3.8543e+00
6,13,-3.8763e-03
6,14,-3.9758e+00
6,15,9.4649e-01
6,16,4.9015e-01
6,17,-1.2894e+00
6,18,-4.5539e+00
6,19,-4.0157e+00
6,20,-3.9777e+00
7,1,-1.4372e+00
7,2,1.2894e+00
7,3,5.4843e-01
7,4,-4.9152e-01
7,5,3.2673e-01
7,6,1.6793e+00
7,8,3.3587e-01
7,9,-8.3076e-01
7,10,-1.3052e+00
7,11,-3.3914e-01
7,12,-9.2269e-01
7,13,-2.0955e+00
7,14,-2.0670e+00
7,15,-3.6201e+00
7,16,-2.6796e+00
7,17,-4.4496e-01
7,18,-9.6014e-01
7,19,-4.1397e+00
7,20,-2.1649e+00
8,1,-1.7431e+00
8,2,1.9499e+00
8,3,4.1942e+00
8,4,-4.0090e+00
8,5,1.7499e+00
8,6,1.5208e+00
8,7,2.1064e+00
8,9,-9.9326e-02
8,10,-4.4188e-01
8,11,-3.6472e-01
8,12,-3.4955e+00
8,13,-1.9599e+00
8,14,-1.5281e+00
8,15,1.5487e+00
8,16,-1.9424e+00
8,17,-5.0952e+00
8,18,-8.8993e-01
8,19,-3.3503e+00
8,20,1.0033e+00
9,1,-4.7064e-01
9,2,4.6766e+00
9,3,2.9021e+00
9,4,-5.2294e-01
9,5,1.4267e+00
9,6,1.0240e+00
9,7,1.7244e+00
9,8,-1.2533e+00
9,10,2.6388e-01
9,11,4.6176e-01
9,12,2.0789e+00
9,13,-1.8241e+00
9,14,-1.0594e+00
9,15,-5.2298e+00
9,16,-2.4375e-01
9,17,-2.2938e+00
9,18,-1.3551e-01
9,19,-4.7213e+00
9,20,-3.9336e-01
10,1,3.7994e+00
10,2,4.2700e+00
