n1,n2,weight
1,2,-1.6637e+00
1,3,-1.4537e+00
1,4,-8.1577e-01
1,5,-1.5023e+00
1,6,-7.6265e-01
1,7,-1.9160e+00
1,8,-1.5213e-01
1,9,-7.7675e-01
1,10,-1.3578e+00
1,11,6.9358e-01
1,12,-2.2202e+00
1,13,-1.6838e+00
1,14,6.9414e-01
1,15,-6.1437e-01
1,16,-4.0899e+00
1,17,-1.9851e-01
1,18,-3.7553e+00
1,19,1.9370e-02
1,20,-3.6080e-01
2,1,6.6629e-03
2,3,-6.0786e-01
2,4,-1.1453e+00
2,5,-7.1890e-02
2,6,1.2406e+00
2,7,-8.0416e-01
2,8,3.5192e-01
2,9,4.5454e-01
2,10,2.6561e+00
2,11,4.1996e-01
2,12,1.4356e+00
2,13,5.0907e-01
2,14,2.2139e+00
2,15,-3.5033e-02
2,16,-2.1847e+00
2,17,3.8019e-01
2,18,1.0783e+00
2,19,-6.3888e-01
2,20,2.0902e+00
3,1,-2.3940e+00
3,2,-1.5537e+00
3,4,-2.3916e+00
3,5,-1.7851e+00
3,6,-1.0765e+00
3,7,-1.9480e+00
3,8,-1.5530e+00
3,9,-2.0692e+00
3,10,-1.3183e+00
3,11,-2.7649e+00
3,12,-1.3098e+00
3,13,-2.7857e+00
3,14,-1.7068e+00
3,15,-6.7010e-01
3,16,-2.9290e+00
3,17,1.4939e+00
3,18,-1.3340e+00
3,19,-3.0573e+00
3,20,-2.1978e+00
4,1,-7.1358e-01
4,2,-6.3043e-01
4,3,-1.3973e-01
4,5,-4.6755e-01
4,6,1.1045e+00
4,7,5.0100e-01
4,8,-6.9774e-01
4,9,3.7796e+00
4,10,7.0229e-01
4,11,-1.0755e+00
4,12,-1.6690e+00
4,13,-2.7956e-01
4,14,9.9991e-01
4,15,-6.2685e-01
4,16,1.3450e+00
4,17,1.5858e+00
4,18,-1.4699e+00
4,19,1.2552e+00
4,20,-2.9249e-01
5,1,-1.0117e+00
5,2,-2.0198e+00
5,3,-2.1316e+00
5,4,7.1825e-01
5,6,-7.4684e-01
5,7,-1.0699e+00
5,8,4.8162e-01
5,9,-1.0111e-01
5,10,-6.6565e-01
5,11,2.4931e+00
5,12,-2.4560e-01
5,13,-1.7121e+00
5,14,-1.9007e+00
5,15,5.8705e-01
5,16,7.2852e-01
5,17,7.9842e-01
5,18,7.5291e-02
5,19,1.0537e+00
5,20,-1.1014e-01
6,1,7.8227e-01
6,2,-6.4353e-01
6,3,-2.1247e+00
6,4,2.7937e+00
6,5,1.8875e+00
6,7,1.1614e+00
6,8,-2.7496e-01
6,9,-1.6876e+00
6,10,-9.6478e-02
6,11,5.7922e-01
6,12,2.2519e-01
6,13,-7.6202e-01
6,14,5.5431e-01
6,15,-6.7068e-01
6,16,-1.4366e+00
6,17,-1.7557e+00
6,18,-1.3134e+00
6,19,5.8735e-01
6,20,-1.2093e+00
7,1,-1.0980e+00
